experiment_id,dataset_name,model_type,fusion_strategy,curve_threshold,precision,recall,f1
a6975b87-e613-4c22-bf06-2b2fa2effe21,CICIDS,Ensemble_with_LUNAR,rank_mean,0.6326530612244897,0.5771446862996159,0.6204404679972471,0.5980099502487563
a6975b87-e613-4c22-bf06-2b2fa2effe21,CICIDS,Ensemble_with_LUNAR,rank_mean,0.6530612244897959,0.611271676300578,0.5822436338609773,0.5964046528022559
a6975b87-e613-4c22-bf06-2b2fa2effe21,CICIDS,Ensemble_with_LUNAR,rank_mean,0.673469387755102,0.6390301134141572,0.5622849277357193,0.5982061138568552
a6975b87-e613-4c22-bf06-2b2fa2effe21,CICIDS,Ensemble_with_LUNAR,rank_mean,0.6938775510204082,0.663029794376836,0.5437026841018582,0.5974664397806769
a6975b87-e613-4c22-bf06-2b2fa2effe21,CICIDS,Ensemble_with_LUNAR,rank_mean,0.7142857142857142,0.6880650994575045,0.5237439779766001,0.5947635795232513
a6975b87-e613-4c22-bf06-2b2fa2effe21,CICIDS,Ensemble_with_LUNAR,rank_mean,0.7346938775510203,0.717948717948718,0.5106675843083276,0.5968228433541122
a6975b87-e613-4c22-bf06-2b2fa2effe21,CICIDS,Ensemble_with_LUNAR,rank_mean,0.7551020408163265,0.7397260273972602,0.5017205781142464,0.5979085503383227
a6975b87-e613-4c22-bf06-2b2fa2effe21,CICIDS,Ensemble_with_LUNAR,rank_mean,0.7755102040816326,0.7587719298245614,0.47625602202339984,0.585200845665962
a6975b87-e613-4c22-bf06-2b2fa2effe21,CICIDS,Ensemble_with_LUNAR,rank_mean,0.7959183673469387,0.7833622183708839,0.4666207845836201,0.5848609014448998
a6975b87-e613-4c22-bf06-2b2fa2effe21,CICIDS,Ensemble_with_LUNAR,rank_mean,0.8163265306122448,0.8072289156626506,0.43805918788713005,0.56792326567031
a6975b87-e613-4c22-bf06-2b2fa2effe21,CICIDS,Ensemble_with_LUNAR,rank_mean,0.836734693877551,0.8272789581905414,0.41534755677907775,0.5530355097365407
a6975b87-e613-4c22-bf06-2b2fa2effe21,CICIDS,Ensemble_with_LUNAR,rank_mean,0.8571428571428571,0.8500772797527048,0.3785271851342051,0.5238095238095238
