Zbiór,Wariant,AUC_ROC,AUC_PR,Precision,Recall,F1,runtime_train,runtime_inference
CICIDS 2017,LUNAR,0.869 ± 0.004,0.743 ± 0.013,0.670 ± 0.020,0.687 ± 0.001,0.678 ± 0.010,224.8 ± 80.4,8.4 ± 1.3
CICIDS 2017,Zespół klasyczny,0.882 ± 0.002,0.730 ± 0.015,0.710 ± 0.020,0.736 ± 0.024,0.722 ± 0.003,10.9 ± 5.2,18.7 ± 11.0
CICIDS 2017,Zespół z LUNAR,0.887 ± 0.002,0.747 ± 0.011,0.666 ± 0.020,0.745 ± 0.007,0.703 ± 0.008,244.4 ± 79.9,27.3 ± 11.8
UNSW-NB15,LUNAR,0.889 ± 0.005,0.930 ± 0.002,0.896 ± 0.006,0.790 ± 0.002,0.839 ± 0.002,373.5 ± 61.9,12.3 ± 1.1
UNSW-NB15,Zespół klasyczny,0.875 ± 0.001,0.910 ± 0.000,0.834 ± 0.008,0.781 ± 0.014,0.806 ± 0.004,109.8 ± 10.8,141.1 ± 9.9
UNSW-NB15,Zespół z LUNAR,0.892 ± 0.000,0.925 ± 0.001,0.803 ± 0.004,0.839 ± 0.006,0.820 ± 0.001,518.3 ± 155.1,167.2 ± 3.7
