dataset_name,fusion_strategy,AUC_ROC,AUC_PR,Precision,Recall,F1
CICIDS,decision_level_AND,0.7948061732584046,0.5796959538767217,0.7554106136970057,0.6576502168077638,0.7031487154013853
CICIDS,decision_level_AND,0.7344310753993942,0.5009347934384683,0.728300021187937,0.5323146809828618,0.6150726193671527
CICIDS,decision_level_AND,0.7235452307148563,0.4786726392480934,0.6980620962700562,0.5187900061945075,0.5952204684770055
CICIDS,decision_level_OR,0.8186686945342717,0.5030074569956862,0.5400706848791671,0.8755936403055957,0.668071446857953
CICIDS,decision_level_OR,0.8371876271663083,0.5425988056765624,0.5878758249816671,0.8690377864959735,0.7013268345518548
CICIDS,decision_level_OR,0.8467657180741497,0.5449840111153158,0.5761761039301883,0.9066177988849886,0.7045773659084527
CICIDS,feature_level,0.9599866087248872,0.8797994094467609,0.793852065321806,0.8531901713813752,0.822452229299363
CICIDS,feature_level,0.9606601503921696,0.8835916344423476,0.7948692890300513,0.8397171174891596,0.8166779626979943
CICIDS,feature_level,0.9599630171205094,0.8815527404760963,0.7927026629395322,0.8344001651868677,0.8130171264743606
CICIDS,lunar_self_ensemble,0.7915203284192457,0.5462497707546047,0.679634102471864,0.682686351435061,0.681156807705184
CICIDS,lunar_self_ensemble,0.7987139290771867,0.5580091887311952,0.6865733756437601,0.6812925872393145,0.6839227879258971
CICIDS,lunar_self_ensemble,0.7920475660384758,0.5475192955838681,0.6814451612903226,0.6815506917200083,0.6814979224198002
CICIDS,score_level,0.8985370251652363,0.7010014327690252,0.7250355162458183,0.8166941978112741,0.7681402179982035
CICIDS,score_level,0.8920303166999365,0.6716590699481557,0.7206046782056442,0.8317158785876523,0.7721837482926361
CICIDS,score_level,0.8922990100714865,0.6749906237680099,0.6437359539862111,0.8723931447449927,0.7408219178082192
UNSW_NB15,decision_level_AND,0.8354525420825863,0.8306392211997485,0.9288053538373914,0.7404422448238286,0.823996058764827
UNSW_NB15,decision_level_AND,0.8334122263110307,0.8262673890886243,0.9199004000783372,0.7464584090083545,0.8241530999736812
UNSW_NB15,decision_level_AND,0.8312368624525965,0.8228753440710005,0.9145481793960925,0.7481156919723938,0.823001998001998
UNSW_NB15,decision_level_OR,0.8221135718189696,0.7921647850518474,0.8343754867709562,0.85125317835089,0.8427298369424747
UNSW_NB15,decision_level_OR,0.8201406159093992,0.7913761026343196,0.8367766262503105,0.841354885579368,0.8390595107372901
UNSW_NB15,decision_level_OR,0.8162818111924186,0.7850834766094951,0.8248499715274432,0.8549990918997458,0.8396539807816645
UNSW_NB15,feature_level,0.9467987898735626,0.9613563484556162,0.8134759271307742,0.9083272793316384,0.8582889994851554
UNSW_NB15,feature_level,0.949003345826077,0.962465411734862,0.8068102433085168,0.9176807119505992,0.8586814517413887
UNSW_NB15,feature_level,0.9549227547221212,0.9655262010167822,0.8115135177371464,0.943130221576462,0.8723855522889542
UNSW_NB15,lunar_self_ensemble,0.8837447987062621,0.9282932642353914,0.923726988911616,0.7791954231747185,0.8453278163637259
UNSW_NB15,lunar_self_ensemble,0.8498960535006639,0.8442097026442898,0.896484375,0.7815337813294587,0.835071802833301
UNSW_NB15,lunar_self_ensemble,0.8869589477836898,0.9252807145795646,0.9008828875616725,0.7876180530330549,0.8404515613265825
UNSW_NB15,score_level,0.8996346615961572,0.9311672525915844,0.9178856104041392,0.7450735561205957,0.8225004072528602
UNSW_NB15,score_level,0.904011776745836,0.934786219611854,0.7986531986531986,0.8346803487104977,0.8162694404049599
UNSW_NB15,score_level,0.9083670005086896,0.9345456656620152,0.7854779218041943,0.8460543043952052,0.8146415572776059
