dataset_name,family,model_type,fusion_strategy,AUC_ROC,AUC_PR,Precision,Recall,F1,runtime_train,runtime_inference
CICIDS,Fusion (best level),Fusion_Level_Comparison,feature_level,0.9599866087248872,0.8797994094467609,0.793852065321806,0.8531901713813752,0.822452229299363,254.1997396945953,11.627692699432371
CICIDS,Robustness (best cfg),Robustness_Analysis,rank_mean,0.900498907855505,0.7368186377666556,0.7242953377060805,0.8436403055957051,0.7794257916825639,180.31943464279172,30.187705755233765
CICIDS,LUNAR+BestBaseline,LUNAR_plus_BestBaseline,rank_mean,0.8920303166999365,0.6716590699481557,0.7206046782056442,0.8317158785876523,0.7721837482926361,181.73228335380557,29.959100246429443
CICIDS,Ensemble -LUNAR,Ensemble_without_LUNAR,rank_mean,0.8837562617710255,0.7393811425844201,0.7117448330683624,0.7395209580838323,0.7253670886075949,4.8497068881988525,6.038775444030762
CICIDS,Ensemble +LUNAR,Ensemble_with_LUNAR,rank_mean,0.8894211293601743,0.75137430473448,0.6813720819437827,0.7382820565765021,0.7086863881869084,217.36609840393064,13.726983070373535
CICIDS,LOF (baseline),LOF,none,0.857459903961906,0.5754259618287463,0.5855446677633932,0.8451889324798678,0.6918071576456669,1.645322322845459,3.281114101409912
CICIDS,LUNAR (solo),LUNAR,none,0.8735030514839444,0.7575341399659186,0.6930739543131323,0.6859900887879413,0.6895138276345146,165.36441087722778,7.710570335388184
CICIDS,LUNAR Self-Ensemble,LUNAR_Self_Ensemble,voting,0.7987139290771867,0.5580091887311952,0.6865733756437601,0.6812925872393145,0.6839227879258971,886.1278517246246,39.04446983337402
CICIDS,Fusion v2 (robust),LUNAR_Fusion_v2,rank_mean,0.8531607491393918,0.6806044171540024,0.5083506306881687,0.8217530456328722,0.628129500660919,213.9159586429596,9.005133867263794
CICIDS,IsolationForest (baseline),IsolationForest,none,0.8290394473421971,0.6148267931424369,0.4805783648696894,0.6948688829238076,0.5681904520704065,0.6339356899261475,1.1888210773468018
CICIDS,OneClassSVM (baseline),OneClassSVM,none,0.7677778222360112,0.6225595119118609,0.2433057020849033,1.0,0.3913851624373686,0.7912337779998779,1.672520875930786
UNSW_NB15,Fusion (best level),Fusion_Level_Comparison,feature_level,0.9549227547221212,0.9655262010167822,0.8115135177371464,0.943130221576462,0.8723855522889542,348.0384519100189,78.34594249725342
UNSW_NB15,LUNAR Self-Ensemble,LUNAR_Self_Ensemble,bagging,0.8837447987062621,0.9282932642353914,0.923726988911616,0.7791954231747185,0.8453278163637259,2092.762129545212,64.88181614875793
UNSW_NB15,Robustness (best cfg),Robustness_Analysis,bagging,0.8836233360032774,0.9277926338682576,0.9235737351991388,0.7791500181620051,0.8452369224706926,1256.3970153331757,39.21039915084839
UNSW_NB15,Fusion v2 (robust),LUNAR_Fusion_v2,stacking_lr,0.8951340444203888,0.9311211732028214,0.9128861895959862,0.7848483472575373,0.8440391611123318,306.1537930965424,16.407114028930664
UNSW_NB15,LUNAR (solo),LUNAR,none,0.883858053283722,0.9277859664165112,0.902292576419214,0.7880721031601888,0.8413233155598643,417.9406869411469,13.584720611572266
UNSW_NB15,LOF (baseline),LOF,none,0.8839827446781566,0.9176466965963584,0.8512818046270021,0.8036233200145296,0.826766320214878,29.20752215385437,57.42094039916992
UNSW_NB15,LUNAR+BestBaseline,LUNAR_plus_BestBaseline,rank_mean,0.8996346615961572,0.9311672525915844,0.9178856104041392,0.7450735561205957,0.8225004072528602,450.9024937152863,79.39680027961731
UNSW_NB15,Ensemble +LUNAR,Ensemble_with_LUNAR,rank_mean,0.892302402769823,0.9255222884517782,0.8002111659376414,0.843102978568834,0.8210973169572283,627.9907767772675,164.6055760383606
UNSW_NB15,Ensemble -LUNAR,Ensemble_without_LUNAR,rank_mean,0.8751294779153009,0.9095128787971596,0.8293899657924744,0.792635306937886,0.8105962109955424,121.9366135597229,151.7278642654419
UNSW_NB15,IsolationForest (baseline),IsolationForest,none,0.8456306496227727,0.8828591886286434,0.7856191453588663,0.8168134762077733,0.8009126829539763,1.523547887802124,3.494789361953736
UNSW_NB15,OneClassSVM (baseline),OneClassSVM,none,0.8160643174937532,0.8469172988860596,0.831732840094256,0.7452324736650926,0.7861102795904927,72.2471616268158,58.50371479988098
