number,value,datetime_start,datetime_complete,duration,params_epsilon,params_k,params_lr,params_n_epochs,params_proportion,params_samples,params_wd,state
0,0.8131832080052176,2026-08-31 21:26:39.234059,2026-08-31 21:27:01.032552,0 days 00:00:21.798493,0.1316230103092925,16,0.03253824951282945,50,2,SUBSPACE,0.00017296262304374396,COMPLETE
1,0.8478964295979698,2026-08-31 21:27:01.098719,2026-08-31 21:28:09.434242,0 days 00:01:08.335523,0.27705326634679056,71,0.0049922254789382435,150,1,MIXED,0.0009582422386921224,COMPLETE
2,0.820324345056473,2026-08-31 21:28:09.503892,2026-08-31 21:29:58.480151,0 days 00:01:48.976259,0.16956180282810995,23,0.001795570283181768,225,2,SUBSPACE,0.37650299356467154,COMPLETE
3,0.8617150898219725,2026-08-31 21:29:58.548825,2026-08-31 21:32:25.491979,0 days 00:02:26.943154,0.10084813565750601,115,0.0006376530778761661,200,1,UNIFORM,0.0002572107019414529,COMPLETE
4,0.85678213523025,2026-08-31 21:32:25.563948,2026-08-31 21:32:57.371298,0 days 00:00:31.807350,0.11567747360938377,11,0.0007386265081951704,125,1,MIXED,0.011771842730435786,COMPLETE
5,0.8360513447451268,2026-08-31 21:32:57.445763,2026-08-31 21:34:35.797880,0 days 00:01:38.352117,0.17612921621304822,8,0.09757219939869242,250,2,UNIFORM,0.830368338123394,COMPLETE
6,0.8544865427103718,2026-08-31 21:34:35.866764,2026-08-31 21:35:32.175441,0 days 00:00:56.308677,0.05264848237603523,5,0.00010492035552749626,250,1,SUBSPACE,0.0848088724003594,COMPLETE
7,0.8542993867976149,2026-08-31 21:35:32.250619,2026-08-31 21:36:40.481748,0 days 00:01:08.231129,0.15373239683064463,21,0.0002569052945923138,250,1,MIXED,0.0011801483065795376,COMPLETE
8,0.8505912325666123,2026-08-31 21:36:40.549723,2026-08-31 21:38:07.767575,0 days 00:01:27.217852,0.030011457254553592,127,0.004493738331525859,75,2,SUBSPACE,0.0041402625948293555,COMPLETE
9,0.8600254647074503,2026-08-31 21:38:07.842961,2026-08-31 21:39:26.276414,0 days 00:01:18.433453,0.15295152091512204,124,0.033746009971539176,100,1,SUBSPACE,0.0009554235011655868,COMPLETE
10,0.8334140583529887,2026-08-31 21:39:26.361714,2026-08-31 21:42:10.949172,0 days 00:02:44.587458,0.48288977212805695,41,0.00992100724552423,300,2,UNIFORM,0.00011925765774296841,COMPLETE
11,0.8610670445001212,2026-08-31 21:42:11.007057,2026-08-31 21:44:44.149209,0 days 00:02:33.142152,0.32607333566543284,145,0.030123468405938984,175,1,UNIFORM,0.0008766749966484291,COMPLETE
12,0.848252881012885,2026-08-31 21:44:44.224151,2026-08-31 21:46:06.251199,0 days 00:01:22.027048,0.33291279863319534,71,0.0013274658873299974,175,1,UNIFORM,0.0002693215218831374,COMPLETE
13,0.8495670591063044,2026-08-31 21:46:06.314365,2026-08-31 21:49:03.235506,0 days 00:02:56.921141,0.4140611756751737,148,0.0003318226515816112,200,1,UNIFORM,0.002967418408113589,COMPLETE
14,0.8373353266358812,2026-08-31 21:49:03.308308,2026-08-31 21:50:40.096838,0 days 00:01:36.788530,0.28242208938955904,76,0.014427983720613956,175,1,UNIFORM,0.02988069947035307,COMPLETE
