number,value,datetime_start,datetime_complete,duration,params_contamination,params_leaf_size,params_metric,params_n_neighbors,params_p,state
0,0.8759263454602282,2026-09-01 11:42:23.523315,2026-09-01 11:42:30.657056,0 days 00:00:07.133741,0.039149152205203916,60,manhattan,77,,COMPLETE
1,0.8732356046263499,2026-09-01 11:42:30.728887,2026-09-01 11:42:31.223795,0 days 00:00:00.494908,0.2269207396964516,30,euclidean,52,,COMPLETE
2,0.8965782977741215,2026-09-01 11:42:31.297212,2026-09-01 11:42:36.750480,0 days 00:00:05.453268,0.22997530625967222,10,minkowski,24,1.0,COMPLETE
3,0.86864423619244,2026-09-01 11:42:36.827867,2026-09-01 11:42:37.266533,0 days 00:00:00.438666,0.16956180282810995,60,euclidean,16,,COMPLETE
4,0.8745358449608782,2026-09-01 11:42:37.326751,2026-09-01 11:42:42.972612,0 days 00:00:05.645861,0.1721927307352018,50,minkowski,97,1.0,COMPLETE
5,0.8962688985026691,2026-09-01 11:42:43.052125,2026-09-01 11:42:48.518662,0 days 00:00:05.466537,0.1718636974605696,20,manhattan,27,,COMPLETE
6,0.8798741050322961,2026-09-01 11:42:48.589206,2026-09-01 11:42:49.022756,0 days 00:00:00.433550,0.19161255036121908,20,euclidean,22,,COMPLETE
7,0.8849736920808157,2026-09-01 11:42:49.094996,2026-09-01 11:42:54.504155,0 days 00:00:05.409159,0.49825659545752304,30,manhattan,11,,COMPLETE
8,0.8748106669552597,2026-09-01 11:42:54.575093,2026-09-01 11:42:55.051310,0 days 00:00:00.476217,0.15962230324281163,10,minkowski,45,2.0,COMPLETE
9,0.8799483114613343,2026-09-01 11:42:55.123284,2026-09-01 11:43:00.558023,0 days 00:00:05.434739,0.3682552179079402,20,minkowski,6,1.0,COMPLETE
10,0.8672385800684002,2026-09-01 11:43:00.629218,2026-09-01 11:43:01.037929,0 days 00:00:00.408711,0.3333618960726796,40,minkowski,5,2.0,COMPLETE
11,0.8949434549256005,2026-09-01 11:43:01.094990,2026-09-01 11:43:06.619254,0 days 00:00:05.524264,0.02285090312050367,10,manhattan,31,,COMPLETE
12,0.8925416252038711,2026-09-01 11:43:06.694501,2026-09-01 11:43:12.140972,0 days 00:00:05.446471,0.2949065700116628,20,manhattan,13,,COMPLETE
13,0.8961702746782966,2026-09-01 11:43:12.211288,2026-09-01 11:43:17.690836,0 days 00:00:05.479548,0.08275826651725354,10,manhattan,28,,COMPLETE
14,0.8801151355968129,2026-09-01 11:43:17.774043,2026-09-01 11:43:23.241610,0 days 00:00:05.467567,0.2604101162816375,30,minkowski,9,1.0,COMPLETE
15,0.8780234348617988,2026-09-01 11:43:23.312652,2026-09-01 11:43:23.752191,0 days 00:00:00.439539,0.11525815058574032,20,minkowski,20,2.0,COMPLETE
16,0.8880558970872461,2026-09-01 11:43:23.827398,2026-09-01 11:43:29.337359,0 days 00:00:05.509961,0.4072565373800358,10,manhattan,44,,COMPLETE
17,0.8920953762546614,2026-09-01 11:43:29.409220,2026-09-01 11:43:34.900471,0 days 00:00:05.491251,0.2484786179085713,40,manhattan,33,,COMPLETE
18,0.8972428999827562,2026-09-01 11:43:34.978898,2026-09-01 11:43:40.441150,0 days 00:00:05.462252,0.12130077351796434,20,minkowski,19,1.0,COMPLETE
19,0.878224274954915,2026-09-01 11:43:40.513794,2026-09-01 11:43:45.973973,0 days 00:00:05.460179,0.09508008998156914,30,minkowski,8,1.0,COMPLETE
20,0.8968261764357204,2026-09-01 11:43:46.048325,2026-09-01 11:43:51.512496,0 days 00:00:05.464171,0.11267964559891452,10,minkowski,17,1.0,COMPLETE
21,0.8968261764357204,2026-09-01 11:43:51.585914,2026-09-01 11:43:57.052648,0 days 00:00:05.466734,0.12185799207446513,10,minkowski,17,1.0,COMPLETE
22,0.896159553477127,2026-09-01 11:43:57.126476,2026-09-01 11:44:02.581407,0 days 00:00:05.454931,0.11514647384347278,10,minkowski,16,1.0,COMPLETE
23,0.8968261764357204,2026-09-01 11:44:02.659668,2026-09-01 11:44:08.133549,0 days 00:00:05.473881,0.06503717384875052,20,minkowski,17,1.0,COMPLETE
24,0.8867055309273536,2026-09-01 11:44:08.204830,2026-09-01 11:44:13.650185,0 days 00:00:05.445355,0.12807916757835638,10,minkowski,12,1.0,COMPLETE
25,0.8801151355968129,2026-09-01 11:44:13.712802,2026-09-01 11:44:19.167111,0 days 00:00:05.454309,0.05114397861130285,20,minkowski,9,1.0,COMPLETE
26,0.8972428999827562,2026-09-01 11:44:19.245797,2026-09-01 11:44:24.703675,0 days 00:00:05.457878,0.13183578960863868,10,minkowski,19,1.0,COMPLETE
27,0.877445275845841,2026-09-01 11:44:24.766304,2026-09-01 11:44:25.249412,0 days 00:00:00.483108,0.2056107029935036,20,euclidean,38,,COMPLETE
28,0.8964848380885322,2026-09-01 11:44:25.322460,2026-09-01 11:44:30.768480,0 days 00:00:05.446020,0.07852850508476972,30,minkowski,20,1.0,COMPLETE
29,0.8845291270899045,2026-09-01 11:44:30.838648,2026-09-01 11:44:36.387997,0 days 00:00:05.549349,0.015140228033526604,10,minkowski,60,1.0,COMPLETE
30,0.8941523313167746,2026-09-01 11:44:36.464961,2026-09-01 11:44:41.915439,0 days 00:00:05.450478,0.13963944303333622,40,minkowski,14,1.0,COMPLETE
31,0.8970287004871355,2026-09-01 11:44:41.986348,2026-09-01 11:44:47.478338,0 days 00:00:05.491990,0.13605000742185216,10,minkowski,18,1.0,COMPLETE
32,0.8965782977741215,2026-09-01 11:44:47.542300,2026-09-01 11:44:53.019779,0 days 00:00:05.477479,0.049838051407035136,10,minkowski,24,1.0,COMPLETE
33,0.8972428999827562,2026-09-01 11:44:53.098127,2026-09-01 11:44:58.565708,0 days 00:00:05.467581,0.14563468819016062,20,minkowski,19,1.0,COMPLETE
34,0.8780234348617988,2026-09-01 11:44:58.633970,2026-09-01 11:44:59.072385,0 days 00:00:00.438415,0.21003135915951618,20,euclidean,20,,COMPLETE
35,0.8849736920808157,2026-09-01 11:44:59.144784,2026-09-01 11:45:04.594162,0 days 00:00:05.449378,0.14157798592128695,30,minkowski,11,1.0,COMPLETE
36,0.8941523313167746,2026-09-01 11:45:04.663600,2026-09-01 11:45:10.118335,0 days 00:00:05.454735,0.15868280649182534,20,minkowski,14,1.0,COMPLETE
37,0.8798231372277826,2026-09-01 11:45:10.190754,2026-09-01 11:45:10.640552,0 days 00:00:00.449798,0.18884759862717798,20,euclidean,25,,COMPLETE
38,0.8920953762546614,2026-09-01 11:45:10.712200,2026-09-01 11:45:16.234901,0 days 00:00:05.522701,0.09634587350503723,50,minkowski,33,1.0,COMPLETE
39,0.8960980889992168,2026-09-01 11:45:16.307615,2026-09-01 11:45:21.792619,0 days 00:00:05.485004,0.2326848012590087,60,minkowski,23,1.0,COMPLETE
40,0.8666000230814551,2026-09-01 11:45:21.863538,2026-09-01 11:45:22.266534,0 days 00:00:00.402996,0.1540145400425991,10,euclidean,10,,COMPLETE
41,0.8968261764357204,2026-09-01 11:45:22.352478,2026-09-01 11:45:27.828851,0 days 00:00:05.476373,0.17962883746253921,10,minkowski,17,1.0,COMPLETE
42,0.8972428999827562,2026-09-01 11:45:27.900518,2026-09-01 11:45:33.383355,0 days 00:00:05.482837,0.10081021250520514,10,minkowski,19,1.0,COMPLETE
43,0.8966862956330246,2026-09-01 11:45:33.454536,2026-09-01 11:45:38.931950,0 days 00:00:05.477414,0.06470606461359146,20,minkowski,21,1.0,COMPLETE
44,0.8955248134623262,2026-09-01 11:45:39.002381,2026-09-01 11:45:44.496109,0 days 00:00:05.493728,0.094420994373424,10,minkowski,29,1.0,COMPLETE
45,0.8941523313167746,2026-09-01 11:45:44.573280,2026-09-01 11:45:50.028058,0 days 00:00:05.454778,0.15123914485496412,20,minkowski,14,1.0,COMPLETE
46,0.8972428999827562,2026-09-01 11:45:50.090750,2026-09-01 11:45:55.561182,0 days 00:00:05.470432,0.03794205061342776,10,minkowski,19,1.0,COMPLETE
47,0.8964360594298072,2026-09-01 11:45:55.631607,2026-09-01 11:46:01.127517,0 days 00:00:05.495910,0.02510496691319873,30,minkowski,26,1.0,COMPLETE
48,0.8810193089394385,2026-09-01 11:46:01.190646,2026-09-01 11:46:06.698682,0 days 00:00:05.508036,0.044366950745959144,20,minkowski,7,1.0,COMPLETE
49,0.8672191022840761,2026-09-01 11:46:06.774233,2026-09-01 11:46:07.208336,0 days 00:00:00.434103,0.03132530131418315,10,minkowski,15,2.0,COMPLETE
50,0.8867055309273536,2026-09-01 11:46:07.268947,2026-09-01 11:46:12.731263,0 days 00:00:05.462316,0.4870553944343728,20,manhattan,12,,COMPLETE
51,0.8972428999827562,2026-09-01 11:46:12.793980,2026-09-01 11:46:18.289717,0 days 00:00:05.495737,0.17450049288786845,10,minkowski,19,1.0,COMPLETE
