Zbior,Poziom fuzji,ROC AUC,PR AUC,Precision,Recall,F1,Recall@FPR=0.01
CICIDS 2017,Fuzja cech,0.960 +/- 0.000,0.882 +/- 0.002,0.794 +/- 0.001,0.842 +/- 0.010,0.817 +/- 0.005,0.440
CICIDS 2017,Fuzja wynikow,0.894 +/- 0.004,0.683 +/- 0.016,0.696 +/- 0.046,0.840 +/- 0.029,0.760 +/- 0.017,0.066
CICIDS 2017,Decyzja: AND,0.751 +/- 0.038,0.520 +/- 0.053,0.727 +/- 0.029,0.570 +/- 0.077,0.638 +/- 0.057,0.084
CICIDS 2017,Decyzja: OR,0.834 +/- 0.014,0.530 +/- 0.024,0.568 +/- 0.025,0.884 +/- 0.020,0.691 +/- 0.020,0.041
UNSW-NB15,Fuzja cech,0.950 +/- 0.004,0.963 +/- 0.002,0.811 +/- 0.003,0.923 +/- 0.018,0.863 +/- 0.008,0.716
UNSW-NB15,Fuzja wynikow,0.904 +/- 0.004,0.933 +/- 0.002,0.834 +/- 0.073,0.809 +/- 0.055,0.818 +/- 0.004,0.638
UNSW-NB15,Decyzja: AND,0.833 +/- 0.002,0.827 +/- 0.004,0.921 +/- 0.007,0.745 +/- 0.004,0.824 +/- 0.001,0.096
UNSW-NB15,Decyzja: OR,0.820 +/- 0.003,0.790 +/- 0.004,0.832 +/- 0.006,0.849 +/- 0.007,0.840 +/- 0.002,0.040
