Model,ROC AUC,PR AUC,Precision,Recall,F1
Isolation Forest,0.845 +/- 0.001,0.885 +/- 0.004,0.781 +/- 0.005,0.814 +/- 0.003,0.797 +/- 0.004
LOF,0.889 +/- 0.004,0.920 +/- 0.003,0.849 +/- 0.010,0.805 +/- 0.006,0.826 +/- 0.001
LUNAR,0.889 +/- 0.005,0.930 +/- 0.002,0.896 +/- 0.006,0.790 +/- 0.002,0.839 +/- 0.002
OneClassSVM,0.818 +/- 0.002,0.850 +/- 0.003,0.810 +/- 0.019,0.762 +/- 0.015,0.785 +/- 0.001
