Zbiór,Model,AUC_ROC,AUC_PR,Precision,Recall,F1
CICIDS 2017,Isolation Forest,0.819 ± 0.009,0.608 ± 0.010,0.712 ± 0.200,0.501 ± 0.168,0.551 ± 0.016
CICIDS 2017,LOF,0.848 ± 0.008,0.543 ± 0.039,0.583 ± 0.005,0.766 ± 0.069,0.662 ± 0.026
CICIDS 2017,One-Class SVM,0.768 ± 0.001,0.623 ± 0.000,0.243 ± 0.000,1.000 ± 0.000,0.391 ± 0.000
CICIDS 2017,LUNAR,0.869 ± 0.004,0.743 ± 0.013,0.670 ± 0.020,0.687 ± 0.001,0.678 ± 0.010
UNSW-NB15,Isolation Forest,0.845 ± 0.001,0.885 ± 0.004,0.781 ± 0.005,0.814 ± 0.003,0.797 ± 0.004
UNSW-NB15,LOF,0.889 ± 0.004,0.920 ± 0.003,0.849 ± 0.010,0.805 ± 0.006,0.826 ± 0.001
UNSW-NB15,One-Class SVM,0.818 ± 0.002,0.850 ± 0.003,0.810 ± 0.019,0.762 ± 0.015,0.785 ± 0.001
UNSW-NB15,LUNAR,0.889 ± 0.005,0.930 ± 0.002,0.896 ± 0.006,0.790 ± 0.002,0.839 ± 0.002
