dataset_name,model_type,AUC_ROC_mean,AUC_ROC_std,AUC_PR_mean,AUC_PR_std,F1_mean,F1_std,Precision_mean,Precision_std
CICIDS,Ensemble_with_LUNAR,0.8874373535395715,0.0018581369879234516,0.7468943449824533,0.011481998754723843,0.7028658889247597,0.008062776092896054,0.6657557642133476,0.019660457067219698
CICIDS,Ensemble_without_LUNAR,0.8816561121681715,0.0018336861307809808,0.7297228269876226,0.01453815587887732,0.7222001079873778,0.0028741760615318517,0.7101970671714772,0.020304959756580917
CICIDS,IsolationForest,0.8189434551008867,0.009371427513716713,0.6081768062818623,0.009832741599140053,0.5513452815294072,0.016409490564151925,0.7117129242505644,0.20049870835704525
CICIDS,LOF,0.8480622680808833,0.008241310525199691,0.5428309761908784,0.03938771508861561,0.6615474661573569,0.026265337102022866,0.5832022877781643,0.00505068956934982
CICIDS,LUNAR,0.8694203321203836,0.0035910931479553867,0.7431637861228108,0.012565468344342535,0.6784679295458647,0.009635412704743194,0.6704467677862934,0.019802674991134823
CICIDS,LUNAR_Self_Ensemble,0.8271140034407484,0.07424195180415692,0.676397755382209,0.08739643465874566,0.6669300468529996,0.021498736607172213,0.6770756141135211,0.062225747327917344
CICIDS,OneClassSVM,0.7677008847250114,0.0005159190745303149,0.6225589290044083,9.410015238339503e-05,0.3913588092226931,4.226738563489412e-05,0.24328533447169,3.266709297877392e-05
UNSW_NB15,Ensemble_with_LUNAR,0.8916501660516075,0.001007237442769385,0.9244000489504031,0.0010181791068360946,0.8183769083988072,0.0035767850003443884,0.8101152410764012,0.01266420385754428
UNSW_NB15,Ensemble_without_LUNAR,0.8747466858020068,0.0013572509087744556,0.9097506880364467,0.0004209132286827295,0.8061886126847003,0.004079599158861055,0.8336297963860885,0.007900798908752475
UNSW_NB15,IsolationForest,0.8453706162987533,0.0009635190629484362,0.8850117731114818,0.004333917336440425,0.7969835617555953,0.003633755810599424,0.7809902012112588,0.005447284867462136
UNSW_NB15,LOF,0.888547990620561,0.003988926886220235,0.920056404032927,0.002877600902149831,0.8259345491278944,0.001281311895612434,0.8486052811269538,0.009522303969131835
UNSW_NB15,LUNAR,0.889236048574816,0.004792836562362905,0.9295140722567066,0.002247648672546319,0.8394373529056974,0.0018968412295513111,0.8959213348064115,0.00553961889760131
UNSW_NB15,LUNAR_Self_Ensemble,0.8794493350721395,0.018685766790570758,0.9082278233080054,0.03977399621529802,0.8392068194236254,0.00447194859504475,0.9038083113171774,0.012891479253435065
UNSW_NB15,OneClassSVM,0.8177511691167726,0.0015168091254135554,0.8504784359797576,0.0032483923370268796,0.7847471799486501,0.0012260969496893524,0.8096456461015699,0.019410636818732372
