dataset_name,model_type,AUC_ROC,AUC_PR,Precision,Recall,F1,runtime_train,runtime_inference
CICIDS,IsolationForest,0.8290394473421971,0.6148267931424369,0.4805783648696894,0.6948688829238076,0.5681904520704065,0.6339356899261475,1.1888210773468018
CICIDS,IsolationForest,0.8105224989830783,0.5968821162813724,0.838784274859597,0.3931963658889118,0.5354092714300777,0.4857537746429443,1.0676250457763672
CICIDS,IsolationForest,0.8172684189773849,0.6128215094217775,0.8157761330224069,0.4153417303324386,0.5504361210877373,0.5371296405792236,0.8836503028869629
CICIDS,LOF,0.857459903961906,0.5754259618287463,0.5855446677633932,0.8451889324798678,0.6918071576456669,1.645322322845459,3.281114101409912
CICIDS,LOF,0.8446605735186798,0.5540028714858494,0.5866565066463466,0.715362378690894,0.644648090431223,10.72881841659546,20.173647165298465
CICIDS,LOF,0.8420663267620639,0.4990640952580394,0.5774056889247529,0.738746644641751,0.6481871503951808,9.683973789215088,19.07528805732727
CICIDS,LUNAR,0.8667508785394951,0.7342434744714506,0.6562776957163958,0.6880549246334916,0.6717907363540144,192.64577674865723,7.596139430999756
CICIDS,LUNAR,0.8735030514839444,0.7575341399659186,0.6930739543131323,0.6859900887879413,0.6895138276345146,165.36441087722778,7.710570335388184
CICIDS,LUNAR,0.8680070663377115,0.7377137439310628,0.6619886533293521,0.6866611604377452,0.674099224649065,316.292822599411,9.893903732299805
CICIDS,OneClassSVM,0.7677778222360112,0.6225595119118609,0.2433057020849033,1.0,0.3913851624373686,0.7912337779998779,1.672520875930786
CICIDS,OneClassSVM,0.7681740144018928,0.6226527363489887,0.2433026462867836,1.0,0.3913812087723374,0.7893803119659424,1.6612484455108645
CICIDS,OneClassSVM,0.7671508175371301,0.6224645387523754,0.2432476550433832,1.0,0.3913100564583733,0.8203878402709961,1.8032398223876955
UNSW_NB15,IsolationForest,0.8443037666807347,0.8900005612969604,0.7823638952787819,0.8107292045041773,0.7962940251747628,3.5272746086120605,7.85665488243103
UNSW_NB15,IsolationForest,0.8456306496227727,0.8828591886286434,0.7856191453588663,0.8168134762077733,0.8009126829539763,1.523547887802124,3.494789361953736
UNSW_NB15,IsolationForest,0.8461774325927527,0.8821755694088415,0.7749875629961283,0.8134308027606247,0.7937439771380468,1.9875879287719729,4.836817026138306
UNSW_NB15,LOF,0.8839827446781566,0.9176466965963584,0.8512818046270021,0.8036233200145296,0.826766320214878,29.20752215385437,57.42094039916992
UNSW_NB15,LOF,0.8903010526248947,0.9232425627516248,0.8565028972099138,0.7986741736287686,0.8265783228777519,29.28394389152527,57.52673292160034
UNSW_NB15,LOF,0.8913601745586317,0.919279952750798,0.8380311415439452,0.8113194696694515,0.8244590042910533,29.41906809806824,57.632495164871216
UNSW_NB15,LUNAR,0.883858053283722,0.9277859664165112,0.902292576419214,0.7880721031601888,0.8413233155598643,417.9406869411469,13.584720611572266
UNSW_NB15,LUNAR,0.893056044584752,0.93205507544709,0.8922429282817393,0.7891391209589539,0.8375298171216539,399.7775466442108,12.010376930236816
UNSW_NB15,LUNAR,0.890794047855974,0.9287011749065186,0.893228499718281,0.791795314202688,0.8394589260355741,302.85055208206177,11.424538612365724
UNSW_NB15,OneClassSVM,0.8160643174937532,0.8469172988860596,0.831732840094256,0.7452324736650926,0.7861102795904927,72.2471616268158,58.50371479988098
UNSW_NB15,OneClassSVM,0.8190027721255576,0.8532791906494149,0.8019020063558318,0.7676398474391573,0.7843969656900271,68.42099690437317,52.755656242370605
UNSW_NB15,OneClassSVM,0.818186417731007,0.8512388184037984,0.795302091854622,0.7724981837994914,0.7837342945654302,69.93921780586243,51.56590366363525
