dataset_name,threshold_variant,AUC_ROC,AUC_PR,Precision,Recall,F1,runtime_train,runtime_inference
CICIDS,operational,0.8667508785394951,0.7342434744714506,0.4270247269632641,0.932479867850506,0.5857897979699711,192.64577674865723,7.596139430999756
CICIDS,operational,0.8735030514839444,0.7575341399659186,0.3699990052720581,0.960045426388602,0.5341413329121013,165.36441087722778,7.710570335388184
CICIDS,operational,0.8680070663377115,0.7377137439310628,0.4297068341899867,0.9321701424736734,0.5882467913219103,316.292822599411,9.893903732299805
CICIDS,recall_oriented,0.8667508785394951,0.7342434744714506,0.4195890693359598,0.94559157546975,0.5812562471243395,192.64577674865723,7.596139430999756
CICIDS,recall_oriented,0.8735030514839444,0.7575341399659186,0.3169986764855601,0.9643815816642576,0.4771537302377851,165.36441087722778,7.710570335388184
CICIDS,recall_oriented,0.8680070663377115,0.7377137439310628,0.4221371934353679,0.9453850918851952,0.5836573395372554,316.292822599411,9.893903732299805
CICIDS,standard,0.8667508785394951,0.7342434744714506,0.6562776957163958,0.6880549246334916,0.6717907363540144,192.64577674865723,7.596139430999756
CICIDS,standard,0.8735030514839444,0.7575341399659186,0.6930739543131323,0.6859900887879413,0.6895138276345146,165.36441087722778,7.710570335388184
CICIDS,standard,0.8680070663377115,0.7377137439310628,0.6619886533293521,0.6866611604377452,0.674099224649065,316.292822599411,9.893903732299805
UNSW_NB15,operational,0.883858053283722,0.9277859664165112,0.6472095762630925,0.9230612059571376,0.7609057733695144,417.9406869411469,13.584720611572266
UNSW_NB15,operational,0.893056044584752,0.93205507544709,0.710901425416583,0.884285325099891,0.7881706613786056,399.7775466442108,12.010376930236816
UNSW_NB15,operational,0.890794047855974,0.9287011749065186,0.6859777522581972,0.9085997094079188,0.7817483958551045,302.85055208206177,11.424538612365724
UNSW_NB15,recall_oriented,0.883858053283722,0.9277859664165112,0.5802711757102536,0.9987967671630948,0.7340697111774815,417.9406869411469,13.584720611572266
UNSW_NB15,recall_oriented,0.893056044584752,0.93205507544709,0.6071307156212816,0.973052124954595,0.747723387181187,399.7775466442108,12.010376930236816
UNSW_NB15,recall_oriented,0.890794047855974,0.9287011749065186,0.5769584164653996,0.9978886669088268,0.7311697385055559,302.85055208206177,11.424538612365724
UNSW_NB15,standard,0.883858053283722,0.9277859664165112,0.902292576419214,0.7880721031601888,0.8413233155598643,417.9406869411469,13.584720611572266
UNSW_NB15,standard,0.893056044584752,0.93205507544709,0.8922429282817393,0.7891391209589539,0.8375298171216539,399.7775466442108,12.010376930236816
UNSW_NB15,standard,0.890794047855974,0.9287011749065186,0.893228499718281,0.791795314202688,0.8394589260355741,302.85055208206177,11.424538612365724
