dataset_name,fusion_strategy,feature_dropout,imbalance_factor_test,noise,AUC_ROC,F1
UNSW_NB15,rank_mean,,,0.0,0.8996346615961572,0.8225004072528602
UNSW_NB15,rank_mean,0.0,,,0.9039991783450704,0.8162635557380871
UNSW_NB15,rank_mean,0.1,,,0.8971320357916379,0.808861706340476
UNSW_NB15,rank_mean,,0.25,,0.9036285475520416,0.5217716594343857
UNSW_NB15,rank_mean,,0.5,,0.902909583701908,0.7046992982144443
UNSW_NB15,rank_mean,,1.0,,0.9040452397678682,0.8162930077691454
UNSW_NB15,rank_mean,,,0.0,0.904011776745836,0.8162694404049599
UNSW_NB15,rank_mean,0.0,,,0.9083534943739208,0.816198972695323
UNSW_NB15,rank_mean,0.1,,,0.8957708285063987,0.8137305536310386
UNSW_NB15,rank_mean,,0.25,,0.9077260114830428,0.5106372863628801
UNSW_NB15,rank_mean,,0.5,,0.9073011704996016,0.7038387521523346
UNSW_NB15,rank_mean,,1.0,,0.908358328254822,0.8187128314744662
UNSW_NB15,rank_mean,,,0.0,0.9083670005086896,0.8146415572776059
UNSW_NB15,stacking_lr,,,0.05,0.8924722440642494,0.8446503727941452
UNSW_NB15,stacking_lr,,,0.15,0.8941252892523607,0.8425419757907068
UNSW_NB15,stacking_lr,0.3,,,0.8888041310549514,0.8448102937938795
UNSW_NB15,weighted,,,0.05,0.8902301142386684,0.8361556122125398
UNSW_NB15,weighted,0.3,,,0.8919724659289634,0.8446815718157181
UNSW_NB15,weighted,,,0.05,0.8867776068413089,0.8424042005351643
UNSW_NB15,weighted,,,0.15,0.8952319938132185,0.8255595381256494
