model_type,CICIDS,UNSW_NB15,delta_pct
LUNAR,0.6784679295458647,0.8394373529056974,23.7254284764172
LOF,0.6615474661573569,0.8259345491278944,24.848871982745386
IsolationForest,0.5513452815294072,0.7969835617555953,44.552531499825015
OneClassSVM,0.3913588092226931,0.7847471799486501,100.5185935401058
