dataset_name,model_type,fusion_strategy,F1,AUC_ROC,runtime_train,runtime_inference
UNSW_NB15,Fusion_Level_Comparison,lunar_self_ensemble,0.8404515613265825,0.8869589477836898,0.0,0.0
CICIDS,Fusion_Level_Comparison,lunar_self_ensemble,0.6814979224198002,0.7920475660384758,0.0,0.0
CICIDS,Fusion_Level_Comparison,lunar_self_ensemble,0.6839227879258971,0.7987139290771867,0.0,0.0
UNSW_NB15,Fusion_Level_Comparison,lunar_self_ensemble,0.835071802833301,0.8498960535006639,0.0,0.0
UNSW_NB15,Fusion_Level_Comparison,lunar_self_ensemble,0.8453278163637259,0.8837447987062621,0.0,0.0
CICIDS,Fusion_Level_Comparison,lunar_self_ensemble,0.681156807705184,0.7915203284192457,0.0,0.0
CICIDS,IsolationForest,none,0.5504361210877373,0.8172684189773849,0.5371296405792236,0.8836503028869629
CICIDS,IsolationForest,none,0.5354092714300777,0.8105224989830783,0.4857537746429443,1.0676250457763672
CICIDS,IsolationForest,none,0.5681904520704065,0.8290394473421971,0.6339356899261475,1.1888210773468018
CICIDS,OneClassSVM,none,0.3913812087723374,0.7681740144018928,0.7893803119659424,1.6612484455108645
CICIDS,OneClassSVM,none,0.3913851624373686,0.7677778222360112,0.7912337779998779,1.672520875930786
CICIDS,OneClassSVM,none,0.3913100564583733,0.7671508175371301,0.8203878402709961,1.8032398223876955
CICIDS,LOF,none,0.6918071576456669,0.857459903961906,1.645322322845459,3.281114101409912
UNSW_NB15,IsolationForest,none,0.8009126829539763,0.8456306496227727,1.523547887802124,3.494789361953736
UNSW_NB15,IsolationForest,none,0.7937439771380468,0.8461774325927527,1.9875879287719729,4.836817026138306
CICIDS,Ensemble_without_LUNAR,rank_mean,0.7253670886075949,0.8837562617710255,4.8497068881988525,6.038775444030762
CICIDS,LUNAR_Epochs_v2,none,0.6676,0.8641704603898699,74.47022557258606,7.487494468688965
CICIDS,LUNAR_Epochs_v2,none,0.6596195545042381,0.8610964546712678,42.22147464752197,7.539852857589722
CICIDS,LUNAR_Epochs_v2,none,0.6655362233362823,0.8641025366120789,39.887025356292725,7.554792165756226
CICIDS,LUNAR,none,0.6717907363540144,0.8667508785394951,192.64577674865723,7.596139430999756
CICIDS,LUNAR_Epochs_v2,none,0.6655362233362823,0.8641027094537018,22.324023246765137,7.611987352371216
CICIDS,LUNAR_Epochs_v2,none,0.6686377189246072,0.8648072876866975,109.25104236602785,7.617540597915649
CICIDS,LUNAR_Epochs_v2,none,0.6698127416034941,0.8654097565380485,145.60699224472046,7.643815279006958
CICIDS,LUNAR_Epochs_v2,none,0.6719152157456473,0.8669725283378864,215.39916515350345,7.644355535507202
CICIDS,LUNAR_Epochs_v2,none,0.6655362233362823,0.8641025996183846,56.361583948135376,7.650588035583496
CICIDS,LUNAR_Epochs_v2,none,0.6710420438543553,0.8660270169711469,179.47140741348267,7.672835826873779
CICIDS,LUNAR_Epochs_v2,none,0.6596195545042381,0.8610568134876162,78.11628675460815,7.674646377563477
