number,value,datetime_start,datetime_complete,duration,params_epsilon,params_k,params_lr,params_n_epochs,params_proportion,params_samples,params_wd,state
58,0.8644119898917212,2026-08-06 01:56:32.887191,2026-08-06 01:56:56.281002,0 days 00:00:23.393811,0.2787358130541745,5,0.01200847216835789,250,1,SUBSPACE,0.08467407639125259,COMPLETE
59,0.8763177469102151,2026-08-06 01:56:56.353141,2026-08-06 01:57:16.235329,0 days 00:00:19.882188,0.30802829408256294,5,0.002524969937569632,200,1,MIXED,0.12715736383306708,COMPLETE
60,0.850802338569189,2026-08-06 01:57:16.320568,2026-08-06 01:58:18.624397,0 days 00:01:02.303829,0.24416762968102995,104,0.004287874762417388,250,1,SUBSPACE,0.03371088590365249,COMPLETE
61,0.8680993189268554,2026-08-06 01:58:18.694996,2026-08-06 01:58:45.181345,0 days 00:00:26.486349,0.3051877850178938,6,0.006934061027017807,275,1,MIXED,0.06675155163739457,COMPLETE
62,0.8788578396098186,2026-08-06 01:58:45.243382,2026-08-06 01:59:11.633633,0 days 00:00:26.390251,0.2527107074513154,5,0.002709159385317831,275,1,MIXED,0.0320175526235983,COMPLETE
63,0.8779107941976735,2026-08-06 01:59:11.711576,2026-08-06 01:59:37.983100,0 days 00:00:26.271524,0.2616537929838414,5,0.002787077650889048,275,1,MIXED,0.018403927927312762,COMPLETE
64,0.8542077042916574,2026-08-06 01:59:38.046106,2026-08-06 02:00:15.223155,0 days 00:00:37.177049,0.327884347000985,51,0.005636427831612411,250,1,MIXED,0.031065915164644686,COMPLETE
65,0.8784359546532728,2026-08-06 02:00:15.292368,2026-08-06 02:00:41.157138,0 days 00:00:25.864770,0.21165916513855793,6,0.01100867420519149,275,1,MIXED,0.016285334074975615,COMPLETE
66,0.8725919545660491,2026-08-06 02:00:41.235872,2026-08-06 02:01:04.685470,0 days 00:00:23.449598,0.23475481399199177,6,0.04558736785493037,250,1,MIXED,0.014116772770144883,COMPLETE
67,0.8639546702331543,2026-08-06 02:01:04.764151,2026-08-06 02:01:31.391215,0 days 00:00:26.627064,0.2735602628940627,8,0.02034642131581819,275,1,MIXED,0.055610505173305264,COMPLETE
68,0.8682298518890028,2026-08-06 02:01:31.453870,2026-08-06 02:01:55.170674,0 days 00:00:23.716804,0.20123367353714403,6,0.03224170705901367,250,1,MIXED,0.020585228565078474,COMPLETE
69,0.8604505719221479,2026-08-06 02:01:55.246669,2026-08-06 02:02:23.607264,0 days 00:00:28.360595,0.22468276900049455,29,0.009595111214935819,225,1,MIXED,0.12537566859495303,COMPLETE
70,0.8643889724784424,2026-08-06 02:02:23.678967,2026-08-06 02:02:49.451150,0 days 00:00:25.772183,0.30319068515060843,5,0.008660884861833635,275,1,MIXED,0.016051339225697826,COMPLETE
71,0.8789620236909754,2026-08-06 02:02:49.526666,2026-08-06 02:03:15.936853,0 days 00:00:26.410187,0.25579604796894445,5,0.001001464640713931,275,1,SUBSPACE,0.026101439626561817,COMPLETE
72,0.8734227014689956,2026-08-06 02:03:16.004054,2026-08-06 02:03:43.489703,0 days 00:00:27.485649,0.29426202397827733,7,0.0014775096907164718,275,1,SUBSPACE,0.0285292896713564,COMPLETE
73,0.8788832799087056,2026-08-06 02:03:43.550875,2026-08-06 02:04:10.298853,0 days 00:00:26.747978,0.21645671639570477,5,0.0010231958049377941,275,1,MIXED,0.02413969659223295,COMPLETE
