number,value,datetime_start,datetime_complete,duration,params_epsilon,params_k,params_lr,params_n_epochs,params_proportion,params_samples,params_wd,state
0,0.8952237878857804,2026-08-09 22:57:07.834204,2026-08-09 23:08:05.739100,0 days 00:10:57.904896,0.3660515335854786,93,0.002281167485681001,250,2,MIXED,0.01476343771074142,COMPLETE
1,0.8965891790016203,2026-08-09 23:08:05.810730,2026-08-09 23:13:07.645413,0 days 00:05:01.834683,0.1353982885353253,59,0.0016943642458979154,225,1,SUBSPACE,0.027713354390133626,COMPLETE
2,0.8900224891763823,2026-08-09 23:13:07.722783,2026-08-09 23:23:28.017899,0 days 00:10:20.295116,0.24751720505560543,86,0.026356970435992628,250,2,MIXED,0.6668829342382537,COMPLETE
3,0.9083309239272114,2026-08-09 23:23:28.080563,2026-08-09 23:26:18.387832,0 days 00:02:50.307269,0.3324791783025361,23,0.008442123802485935,225,1,UNIFORM,0.008214380427751513,COMPLETE
4,0.8993316361468294,2026-08-09 23:26:18.453000,2026-08-09 23:27:49.434336,0 days 00:01:30.981336,0.16069334497735088,25,0.0027108160847900417,75,2,UNIFORM,0.4765928163155595,COMPLETE
5,0.5247218788627936,2026-08-09 23:27:49.498859,2026-08-09 23:36:17.241478,0 days 00:08:27.742619,0.08987234528249519,136,0.037377310329363846,200,1,SUBSPACE,0.1637283697057387,COMPLETE
6,0.8964100389288516,2026-08-09 23:36:17.323857,2026-08-09 23:42:59.783342,0 days 00:06:42.459485,0.07069115155698626,98,0.017000681801169464,200,1,MIXED,0.7016532513549357,COMPLETE
7,0.8967969824838877,2026-08-09 23:42:59.861902,2026-08-09 23:45:54.094998,0 days 00:02:54.233096,0.1982118667365726,24,0.00012922628152774743,150,2,MIXED,0.0004985200134952847,COMPLETE
8,0.8950910231639763,2026-08-09 23:45:54.180012,2026-08-09 23:50:24.742215,0 days 00:04:30.562203,0.14191753444830602,70,0.001876980219849124,175,1,UNIFORM,0.0011292163044994239,COMPLETE
9,0.8988454558267921,2026-08-09 23:50:24.804931,2026-08-09 23:51:30.410147,0 days 00:01:05.605216,0.48790344490591686,30,0.0031024288227061185,75,1,MIXED,0.0029471125596792465,COMPLETE
10,0.898385643847782,2026-08-09 23:51:30.488042,2026-08-09 23:54:56.891492,0 days 00:03:26.403450,0.3172626203914679,6,0.00014690730736544676,300,2,UNIFORM,0.00010236319791608765,COMPLETE
11,0.8959805368215049,2026-08-09 23:54:56.957895,2026-08-09 23:55:43.179185,0 days 00:00:46.221290,0.42080257676534744,14,0.007766678095094036,50,2,UNIFORM,0.030904895209333136,COMPLETE
12,0.897707002079282,2026-08-09 23:55:43.259085,2026-08-09 23:56:50.489687,0 days 00:01:07.230602,0.27585030810754124,14,0.0005252406652470706,125,1,UNIFORM,0.14779112969594163,COMPLETE
13,0.8946262468520767,2026-08-09 23:56:50.570739,2026-08-09 23:59:11.880185,0 days 00:02:21.309446,0.01485432380887139,35,0.007210957958596054,100,2,UNIFORM,0.004932906758044303,COMPLETE
14,0.898354535691433,2026-08-09 23:59:11.956189,2026-08-10 00:01:51.841361,0 days 00:02:39.885172,0.20817716070666392,11,0.0007282400795769435,300,1,UNIFORM,0.11315795288137863,COMPLETE
15,0.8948689253965542,2026-08-10 00:01:51.910407,2026-08-10 00:03:15.012451,0 days 00:01:23.102044,0.3674648406196094,43,0.008311589105964407,50,2,UNIFORM,0.007373467572130679,COMPLETE
16,0.6244416310452914,2026-08-10 00:03:15.091152,2026-08-10 00:04:45.106169,0 days 00:01:30.015017,0.49585603557905966,21,0.09537750612253681,125,1,SUBSPACE,0.00011586864907725066,COMPLETE
17,0.8984580632366203,2026-08-10 00:04:45.169260,2026-08-10 00:08:13.129404,0 days 00:03:27.960144,0.3233565970075081,9,0.0005382454264437446,275,2,UNIFORM,0.05583582425178473,COMPLETE
18,0.8966955254896043,2026-08-10 00:08:13.196891,2026-08-10 00:10:42.926632,0 days 00:02:29.729741,0.4261590258672153,18,0.004175680722695922,150,2,UNIFORM,0.33109544583527273,COMPLETE
19,0.8979226636764253,2026-08-10 00:10:43.001750,2026-08-10 00:12:33.745489,0 days 00:01:50.743739,0.17808573983292303,43,0.0011070620549661796,100,1,UNIFORM,0.0013201383367740349,COMPLETE
20,0.8958218527938093,2026-08-10 00:12:33.814901,2026-08-10 00:14:00.515091,0 days 00:01:26.700190,0.26727989932154117,5,0.016875363891946007,200,1,SUBSPACE,0.000590474748699345,COMPLETE
21,0.8989145573449051,2026-08-10 00:14:00.569524,2026-08-10 00:15:05.173231,0 days 00:01:04.603707,0.49085821528025575,29,0.004198654048007682,75,1,MIXED,0.004024330851936922,COMPLETE
22,0.8986818823053964,2026-08-10 00:15:05.251890,2026-08-10 00:16:05.202979,0 days 00:00:59.951089,0.41886145216299037,24,0.005459008874503761,75,1,MIXED,0.009648762499864055,COMPLETE
23,0.9081359428927094,2026-08-10 00:16:05.281730,2026-08-10 00:17:28.762207,0 days 00:01:23.480477,0.45672500453795317,46,0.010332051984873178,75,1,MIXED,0.0028200298446091903,COMPLETE
24,0.8944768179374568,2026-08-10 00:17:28.824925,2026-08-10 00:19:15.178855,0 days 00:01:46.353930,0.37914981905268763,44,0.014723559082641722,100,1,UNIFORM,0.001640962762876354,COMPLETE
25,0.5275648949320149,2026-08-10 00:19:15.241798,2026-08-10 00:22:33.543646,0 days 00:03:18.301848,0.45509914697440834,57,0.057805551603219124,150,1,MIXED,0.0005357545889299267,COMPLETE
26,0.8967625564568135,2026-08-10 00:22:33.614799,2026-08-10 00:23:22.334174,0 days 00:00:48.719375,0.30413203955575197,16,0.009830521342386638,50,2,UNIFORM,0.05539178539825818,COMPLETE
27,0.8968834716403129,2026-08-10 00:23:22.413994,2026-08-10 00:24:25.240319,0 days 00:01:02.826325,0.3413242112325539,9,0.03436879601940384,125,1,SUBSPACE,0.02018409871847817,COMPLETE
28,0.9027237473478862,2026-08-10 00:24:25.335015,2026-08-10 00:28:24.039669,0 days 00:03:58.704654,0.2369989866448622,34,0.011945991566623976,175,2,UNIFORM,0.00019394754702828113,COMPLETE
