number,value,datetime_start,datetime_complete,duration,params_epsilon,params_k,params_lr,params_n_epochs,params_proportion,params_samples,params_wd,state
96,0.8793854229510262,2026-08-05 01:29:59.429314,2026-08-05 01:30:26.408122,0 days 00:00:26.978808,0.24216776048003708,5,0.000760106611772207,275,1,SUBSPACE,0.0015370127202755067,COMPLETE
97,0.8723702605328894,2026-08-05 01:30:26.486637,2026-08-05 01:30:51.389134,0 days 00:00:24.902497,0.2708970866196711,6,0.0007914131696818476,250,1,SUBSPACE,0.0024595409280128424,COMPLETE
98,0.879592276809835,2026-08-05 01:30:51.468342,2026-08-05 01:31:13.613400,0 days 00:00:22.145058,0.2394045672052712,5,0.0006936560632107938,225,1,SUBSPACE,0.0015945147130652629,COMPLETE
99,0.8678318929278391,2026-08-05 01:31:13.676166,2026-08-05 01:31:33.619732,0 days 00:00:19.943566,0.2899276315093935,7,0.0002241625252977794,200,1,SUBSPACE,0.0012372378967947966,COMPLETE
100,0.8731089377827204,2026-08-05 01:31:33.681974,2026-08-05 01:31:56.425226,0 days 00:00:22.743252,0.2365049529603394,8,0.0006647879827175876,225,1,SUBSPACE,0.0015999706895558309,COMPLETE
101,0.870151200176386,2026-08-05 01:31:56.494613,2026-08-05 01:32:13.724000,0 days 00:00:17.229387,0.2728269412536842,5,0.0005327216911117514,175,1,SUBSPACE,0.000998764334890082,COMPLETE
102,0.8698474308932453,2026-08-05 01:32:13.807154,2026-08-05 01:32:35.872061,0 days 00:00:22.064907,0.2616179776852942,5,0.0003279250340063182,225,1,SUBSPACE,0.0005534053193158993,COMPLETE
103,0.872366020483075,2026-08-05 01:32:35.950997,2026-08-05 01:33:03.104392,0 days 00:00:27.153395,0.23140228096306595,6,0.0009266245424826285,275,1,SUBSPACE,0.001597507845883075,COMPLETE
104,0.8786176710738954,2026-08-05 01:33:03.178560,2026-08-05 01:33:25.383515,0 days 00:00:22.204955,0.2817133417427547,5,0.000754134229191364,225,1,SUBSPACE,0.0018937412464670965,COMPLETE
105,0.8786515914724119,2026-08-05 01:33:25.452837,2026-08-05 01:33:50.263013,0 days 00:00:24.810176,0.24481809408949,5,0.0010991495250228765,250,1,SUBSPACE,0.00602289974385051,COMPLETE
106,0.8740817263544536,2026-08-05 01:33:50.331527,2026-08-05 01:34:17.470926,0 days 00:00:27.139399,0.3174221372830746,6,0.0014899357990069537,275,1,SUBSPACE,0.0024144657818475066,COMPLETE
