number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_contamination,params_max_features,params_max_samples,params_n_estimators,state
33,0.8132563946008418,2026-08-03 12:03:07.830222,2026-08-03 12:03:08.035654,0 days 00:00:00.205432,False,0.13147918029491126,0.9361022670679318,0.8840176351945501,100,COMPLETE
34,0.8058450903857476,2026-08-03 12:03:08.097342,2026-08-03 12:03:08.303258,0 days 00:00:00.205916,False,0.25787725941206324,0.9039485736699677,0.836191889181464,100,COMPLETE
35,0.8209169531728898,2026-08-03 12:03:08.366069,2026-08-03 12:03:08.555272,0 days 00:00:00.189203,False,0.06625027342252846,0.8716859146942537,0.844414849636111,100,COMPLETE
36,0.8188214599824097,2026-08-03 12:03:08.639639,2026-08-03 12:03:08.814033,0 days 00:00:00.174394,False,0.04656948753892754,0.7677632559734011,0.8460648438995733,100,COMPLETE
37,0.8085099616941784,2026-08-03 12:03:08.876621,2026-08-03 12:03:09.065604,0 days 00:00:00.188983,False,0.0515029115970045,0.832391566520991,0.7581544185836728,100,COMPLETE
38,0.7745217223809213,2026-08-03 12:03:09.137618,2026-08-03 12:03:09.326883,0 days 00:00:00.189265,False,0.011294387236968734,0.7698494037666462,0.8457426936461134,100,COMPLETE
39,0.8230006347960294,2026-08-03 12:03:09.389468,2026-08-03 12:03:09.594626,0 days 00:00:00.205158,False,0.10422105053465605,0.9242947771995036,0.9419045901167068,100,COMPLETE
40,0.8043059523030739,2026-08-03 12:03:09.658003,2026-08-03 12:03:09.863238,0 days 00:00:00.205235,False,0.10481246289285731,0.9188940490203882,0.9259577889789955,100,COMPLETE
41,0.7988838371723955,2026-08-03 12:03:09.925842,2026-08-03 12:03:10.115382,0 days 00:00:00.189540,False,0.06563727976973746,0.876647686339113,0.8530462110173971,100,COMPLETE
42,0.8191688412065001,2026-08-03 12:03:10.200297,2026-08-03 12:03:10.404539,0 days 00:00:00.204242,False,0.07506938613228853,0.9716963726034267,0.8071170268241421,100,COMPLETE
43,0.8046654479552057,2026-08-03 12:03:10.467319,2026-08-03 12:03:10.672619,0 days 00:00:00.205300,False,0.15375375868782118,0.9979640541478672,0.7832281141879266,100,COMPLETE
44,0.819377512229515,2026-08-03 12:03:10.734969,2026-08-03 12:03:11.837034,0 days 00:00:01.102065,False,0.07744994677355281,0.9652781393863055,0.9279632783708806,600,COMPLETE
45,0.8110942720561334,2026-08-03 12:03:11.915269,2026-08-03 12:03:13.017671,0 days 00:00:01.102402,False,0.11370667527963399,0.9614770205726159,0.9369988840136754,600,COMPLETE
46,0.8150151066917678,2026-08-03 12:03:13.080249,2026-08-03 12:03:13.285107,0 days 00:00:00.204858,False,0.08019541662271096,0.8979244437327263,0.6400820240539186,100,COMPLETE
47,0.8173080650593243,2026-08-03 12:03:13.348084,2026-08-03 12:03:13.728006,0 days 00:00:00.379922,False,0.14893542767616713,0.9670450279364681,0.8051661785656125,200,COMPLETE
48,0.8060976762104131,2026-08-03 12:03:13.806310,2026-08-03 12:03:13.992931,0 days 00:00:00.186621,False,0.10272428116837001,0.9225702082929349,0.715925258488526,100,COMPLETE
49,0.8113623037765518,2026-08-03 12:03:14.055509,2026-08-03 12:03:15.112086,0 days 00:00:01.056577,False,0.13847927801305288,0.845652934022667,0.8834553193403373,600,COMPLETE
50,0.8144024194935684,2026-08-03 12:03:15.191153,2026-08-03 12:03:15.575048,0 days 00:00:00.383895,False,0.08214092063753785,0.967003437625178,0.9465209698337488,200,COMPLETE
51,0.8153076701289701,2026-08-03 12:03:15.637835,2026-08-03 12:03:16.491030,0 days 00:00:00.853195,False,0.02963281364107853,0.9234641650369911,0.9972930268039677,500,COMPLETE
52,0.8151071763448832,2026-08-03 12:03:16.554177,2026-08-03 12:03:17.633561,0 days 00:00:01.079384,False,0.0615823716913016,0.885372234297983,0.8719047247497401,600,COMPLETE
53,0.8179168150684102,2026-08-03 12:03:17.712345,2026-08-03 12:03:17.918801,0 days 00:00:00.206456,False,0.02647691251066961,0.9416710435376301,0.9553329749687062,100,COMPLETE
54,0.8117681371159422,2026-08-03 12:03:17.981697,2026-08-03 12:03:18.183232,0 days 00:00:00.201535,False,0.0819207454808535,0.9966045100616987,0.8229289503118457,100,COMPLETE
55,0.8192887740441112,2026-08-03 12:03:18.262078,2026-08-03 12:03:19.187272,0 days 00:00:00.925194,False,0.11985577321863172,0.9627267154627821,0.9194202780654401,500,COMPLETE
56,0.8215905153719978,2026-08-03 12:03:19.261771,2026-08-03 12:03:20.194754,0 days 00:00:00.932983,False,0.11340630567422308,0.9675409287683246,0.7761569183162288,500,COMPLETE
57,0.8111739244205063,2026-08-03 12:03:20.270557,2026-08-03 12:03:21.146862,0 days 00:00:00.876305,False,0.12274574448400545,0.8586217234904987,0.7640820596591378,500,COMPLETE
58,0.8134172136330927,2026-08-03 12:03:21.228739,2026-08-03 12:03:22.312197,0 days 00:00:01.083458,False,0.20119879860495793,0.9050238988330254,0.902454664358277,600,COMPLETE
59,0.8066431283329819,2026-08-03 12:03:22.387506,2026-08-03 12:03:23.317924,0 days 00:00:00.930418,False,0.14394102918319188,0.952153540718792,0.7125565876331592,500,COMPLETE
60,0.812383852921152,2026-08-03 12:03:23.381168,2026-08-03 12:03:24.485170,0 days 00:00:01.104002,False,0.09861187625915276,0.926414985117833,0.6568133140272012,600,COMPLETE
61,0.8181839382067253,2026-08-03 12:03:24.550596,2026-08-03 12:03:25.484107,0 days 00:00:00.933511,False,0.11716786358553853,0.9787274892696541,0.8596366104317604,500,COMPLETE
62,0.8181754581070965,2026-08-03 12:03:25.546805,2026-08-03 12:03:26.293723,0 days 00:00:00.746918,False,0.16383064779035814,0.9756542422057808,0.8046030993610047,400,COMPLETE
63,0.8179928331043707,2026-08-03 12:03:26.373131,2026-08-03 12:03:27.258686,0 days 00:00:00.885555,False,0.062117086236042535,0.8900875455960423,0.9175658806677424,500,COMPLETE
64,0.8101299635840293,2026-08-03 12:03:27.337923,2026-08-03 12:03:28.434014,0 days 00:00:01.096091,False,0.09391879687635593,0.955157799537236,0.7814589606337263,600,COMPLETE
65,0.8103104685618477,2026-08-03 12:03:28.512363,2026-08-03 12:03:28.717733,0 days 00:00:00.205370,False,0.11329522020687967,0.9376240621476062,0.9662603328955,100,COMPLETE
66,0.8099152353469935,2026-08-03 12:03:28.779958,2026-08-03 12:03:29.143382,0 days 00:00:00.363424,False,0.13304282932778527,0.9152128164850293,0.7260855549282094,200,COMPLETE
67,0.8075589790929201,2026-08-03 12:03:29.221682,2026-08-03 12:03:29.921046,0 days 00:00:00.699364,False,0.0737027007711775,0.8130579834277016,0.8258329262293833,400,COMPLETE
68,0.818573114207559,2026-08-03 12:03:29.983730,2026-08-03 12:03:30.920054,0 days 00:00:00.936324,False,0.17702154796847594,0.9833409742871122,0.8720376537215265,500,COMPLETE
69,0.7953609614979249,2026-08-03 12:03:30.983942,2026-08-03 12:03:31.341735,0 days 00:00:00.357793,False,0.19605275297717606,0.8713546609314369,0.12367321007756021,200,COMPLETE
70,0.81851799355997,2026-08-03 12:03:31.401347,2026-08-03 12:03:31.607352,0 days 00:00:00.206005,False,0.045111062150023466,0.9372165682092937,0.9182366575866305,100,COMPLETE
71,0.8033331637313408,2026-08-03 12:03:31.673853,2026-08-03 12:03:32.364151,0 days 00:00:00.690298,True,0.025581701462121235,0.9610411895368588,0.997450697042641,400,COMPLETE
72,0.8284739333851832,2026-08-03 12:03:32.443796,2026-08-03 12:03:33.147264,0 days 00:00:00.703468,True,0.05386199509107458,0.9693563942766983,0.9488198784827652,400,COMPLETE
73,0.81174996547388,2026-08-03 12:03:33.210208,2026-08-03 12:03:34.281901,0 days 00:00:01.071693,True,0.058292594101169284,0.9990762884280859,0.9634389316535915,600,COMPLETE
74,0.8249310689044438,2026-08-03 12:03:34.361469,2026-08-03 12:03:35.288235,0 days 00:00:00.926766,False,0.07919783398085657,0.9703532480829504,0.8918241470603508,500,COMPLETE
75,0.815257395252598,2026-08-03 12:03:35.367425,2026-08-03 12:03:36.267342,0 days 00:00:00.899917,False,0.09195270071705805,0.905892143550748,0.8911888346075434,500,COMPLETE
76,0.808561750874056,2026-08-03 12:03:36.345854,2026-08-03 12:03:37.051430,0 days 00:00:00.705576,True,0.1588359975690071,0.9528127182392341,0.9340925953091122,400,COMPLETE
77,0.8137473317972239,2026-08-03 12:03:37.114487,2026-08-03 12:03:38.028741,0 days 00:00:00.914254,False,0.1095973687119051,0.9299778214877958,0.8595387490230647,500,COMPLETE
78,0.81588552834655,2026-08-03 12:03:38.107029,2026-08-03 12:03:39.021325,0 days 00:00:00.914296,False,0.12740667877795864,0.9844159713152599,0.9145157101917123,500,COMPLETE
79,0.8219533424918409,2026-08-03 12:03:39.099544,2026-08-03 12:03:39.791884,0 days 00:00:00.692340,True,0.044703498096160164,0.947339962640278,0.9654568408982012,400,COMPLETE
