Wariant,Run,ROC AUC,PR AUC,Precision,Recall,$F_1$,Czas uczenia [s],Czas wnioskowania [s]
LUNAR,1,0.875 ± 0.013,0.921 ± 0.009,0.897 ± 0.008,0.791 ± 0.004,0.840 ± 0.001,252.5 ± 234.0,14.1 ± 0.8
LUNAR,2,0.894 ± 0.001,0.932 ± 0.000,0.779 ± 0.160,0.861 ± 0.102,0.807 ± 0.043,402.4 ± 3.8,11.9 ± 0.1
LUNAR,3,0.894 ± 0.005,0.932 ± 0.004,0.899 ± 0.009,0.785 ± 0.009,0.839 ± 0.001,489.8 ± 264.4,13.4 ± 2.8
Zespół klasyczny,1,0.872 ± 0.002,0.908 ± 0.002,0.820 ± 0.012,0.787 ± 0.005,0.803 ± 0.003,111.1 ± 7.1,144.8 ± 7.9
Zespół klasyczny,2,0.875 ± 0.001,0.910 ± 0.001,0.834 ± 0.006,0.784 ± 0.013,0.808 ± 0.004,111.7 ± 14.5,144.7 ± 9.9
Zespół klasyczny,3,0.875 ± 0.001,0.911 ± 0.000,0.836 ± 0.010,0.772 ± 0.009,0.803 ± 0.000,101.6 ± 0.3,131.2 ± 1.5
Zespół z LUNAR,1,0.879,0.920,0.828,0.808,0.818,226.0,169.2
Zespół z LUNAR,2,0.892 ± 0.000,0.926 ± 0.000,0.802 ± 0.002,0.842 ± 0.001,0.821 ± 0.000,533.6 ± 133.5,153.6 ± 15.6
Zespół z LUNAR,3,0.893 ± 0.001,0.925 ± 0.002,0.805 ± 0.001,0.837 ± 0.004,0.821 ± 0.002,591.8 ± 259.1,158.3 ± 16.4
