Wariant,Run,Precision,Recall,F1,FP,FN
Decyzja AND,1,0.922 ± 0.010,0.745 ± 0.006,0.824 ± 0.000,2782.5 ± 399.5,11236.0 ± 278.6
Decyzja AND,2,0.897 ± 0.032,0.763 ± 0.023,0.824 ± 0.000,3891.5 ± 1454.5,10453.0 ± 1011.2
Decyzja AND,3,0.919 ± 0.006,0.746 ± 0.003,0.824 ± 0.001,2906.0 ± 244.7,11174.5 ± 112.4
Decyzja OR,1,0.819 ± 0.022,0.864 ± 0.018,0.841 ± 0.003,8463.5 ± 1443.2,5986.0 ± 800.4
Decyzja OR,2,0.748 ± 0.125,0.899 ± 0.081,0.810 ± 0.041,14485.5 ± 10262.2,4458.0 ± 3578.0
Decyzja OR,3,0.831 ± 0.009,0.847 ± 0.011,0.839 ± 0.001,7592.0 ± 572.8,6729.5 ± 484.4
