run_index,AUC_ROC,AUC_PR,Precision,Recall,F1,runtime_train,runtime_inference,ConfusionMatrix_FP,ConfusionMatrix_FN
1,0.875 ± 0.013,0.921 ± 0.009,0.897 ± 0.008,0.791 ± 0.004,0.840 ± 0.001,252.5 ± 234.0,14.1 ± 0.8,4017.0 ± 364.9,9223.5 ± 157.7
2,0.894 ± 0.001,0.932 ± 0.000,0.779 ± 0.160,0.861 ± 0.102,0.807 ± 0.043,402.4 ± 3.8,11.9 ± 0.1,12422.5 ± 11631.2,6121.0 ± 4478.8
3,0.894 ± 0.005,0.932 ± 0.004,0.899 ± 0.009,0.785 ± 0.009,0.839 ± 0.001,489.8 ± 264.4,13.4 ± 2.8,3874.5 ± 416.5,9450.5 ± 395.3
