Zbiór,Wariant,AUC_ROC,AUC_PR,Precision,Recall,F1,runtime_train,runtime_inference
CICIDS 2017,LUNAR,0.866 ± 0.008,0.732 ± 0.016,0.651 ± 0.039,0.696 ± 0.011,0.672 ± 0.018,203.8 ± 76.4,9.5 ± 1.6
CICIDS 2017,Zespól klasyczny,0.855 ± 0.033,0.691 ± 0.046,0.617 ± 0.126,0.736 ± 0.127,0.655 ± 0.075,10.7 ± 4.5,19.2 ± 10.0
CICIDS 2017,Zespól z LUNAR,0.869 ± 0.022,0.720 ± 0.034,0.605 ± 0.078,0.749 ± 0.092,0.663 ± 0.048,219.0 ± 78.9,28.3 ± 10.6
UNSW-NB15,LUNAR,0.888 ± 0.012,0.928 ± 0.007,0.858 ± 0.095,0.812 ± 0.059,0.829 ± 0.025,381.6 ± 191.0,13.2 ± 1.7
UNSW-NB15,Zespól klasyczny,0.874 ± 0.002,0.910 ± 0.001,0.830 ± 0.011,0.781 ± 0.010,0.805 ± 0.003,108.1 ± 8.8,140.3 ± 9.0
UNSW-NB15,Zespól z LUNAR,0.890 ± 0.005,0.924 ± 0.002,0.811 ± 0.012,0.829 ± 0.018,0.819 ± 0.003,500.6 ± 189.7,158.2 ± 11.7
