number,value,datetime_start,datetime_complete,duration,params_fusion_strategy,params_meta_C,params_w_0,params_w_1,state
0,0.9024334360297704,2026-08-31 16:57:32.464691,2026-08-31 16:57:32.467691,0 days 00:00:00.003000,mean,,,,COMPLETE
1,0.9024077004113573,2026-08-31 16:57:32.541718,2026-08-31 16:57:32.543719,0 days 00:00:00.002001,weighted,,0.2419864247038851,0.7203086925547387,COMPLETE
2,0.9024328185994486,2026-08-31 16:57:32.605010,2026-08-31 16:57:32.607007,0 days 00:00:00.001997,weighted,,0.6844637468101178,0.840919735388559,COMPLETE
3,0.9024365231813793,2026-08-31 16:57:32.673294,2026-08-31 16:57:32.682867,0 days 00:00:00.009573,stacking_lr,0.86879229294774,,,COMPLETE
4,0.9200232681423269,2026-08-31 16:57:32.745309,2026-08-31 16:57:32.748787,0 days 00:00:00.003478,rank_mean,,,,COMPLETE
5,0.9200232681423269,2026-08-31 16:57:32.808471,2026-08-31 16:57:32.811651,0 days 00:00:00.003180,rank_mean,,,,COMPLETE
6,0.9024271775315085,2026-08-31 16:57:32.870381,2026-08-31 16:57:32.872777,0 days 00:00:00.002396,weighted,,0.4777000179626745,0.9195368729845518,COMPLETE
7,0.9024464722290646,2026-08-31 16:57:32.930109,2026-08-31 16:57:32.932144,0 days 00:00:00.002035,max,,,,COMPLETE
8,0.9024334360297704,2026-08-31 16:57:32.991256,2026-08-31 16:57:32.993253,0 days 00:00:00.001997,mean,,,,COMPLETE
9,0.9024330992495947,2026-08-31 16:57:33.052148,2026-08-31 16:57:33.054148,0 days 00:00:00.002000,weighted,,0.6535989776762997,0.7434887796074261,COMPLETE
10,0.9200232681423269,2026-08-31 16:57:33.112044,2026-08-31 16:57:33.116277,0 days 00:00:00.004233,rank_mean,,,,COMPLETE
11,0.9200232681423269,2026-08-31 16:57:33.176002,2026-08-31 16:57:33.181072,0 days 00:00:00.005070,rank_mean,,,,COMPLETE
12,0.9200232681423269,2026-08-31 16:57:33.241033,2026-08-31 16:57:33.245027,0 days 00:00:00.003994,rank_mean,,,,COMPLETE
13,0.9200232681423269,2026-08-31 16:57:33.303594,2026-08-31 16:57:33.307615,0 days 00:00:00.004021,rank_mean,,,,COMPLETE
14,0.9200232681423269,2026-08-31 16:57:33.364507,2026-08-31 16:57:33.370000,0 days 00:00:00.005493,rank_mean,,,,COMPLETE
15,0.9024334079647557,2026-08-31 16:57:33.426976,2026-08-31 16:57:33.437864,0 days 00:00:00.010888,stacking_lr,63.261591835874746,,,COMPLETE
16,0.9024464722290646,2026-08-31 16:57:33.507999,2026-08-31 16:57:33.510001,0 days 00:00:00.002002,max,,,,COMPLETE
17,0.9200232681423269,2026-08-31 16:57:33.571059,2026-08-31 16:57:33.575370,0 days 00:00:00.004311,rank_mean,,,,COMPLETE
18,0.9200232681423269,2026-08-31 16:57:33.634003,2026-08-31 16:57:33.638042,0 days 00:00:00.004039,rank_mean,,,,COMPLETE
19,0.9200232681423269,2026-08-31 16:57:33.701067,2026-08-31 16:57:33.705091,0 days 00:00:00.004024,rank_mean,,,,COMPLETE
20,0.9024464722290646,2026-08-31 16:57:33.769976,2026-08-31 16:57:33.773134,0 days 00:00:00.003158,max,,,,COMPLETE
