number,value,datetime_start,datetime_complete,duration,params_contamination,params_leaf_size,params_metric,params_n_neighbors,params_p,state
0,0.7603514212748619,2026-08-08 21:49:45.042024,2026-08-08 21:49:46.984786,0 days 00:00:01.942762,0.2757254682642995,30,minkowski,48,2.0,COMPLETE
1,0.8391280632611581,2026-08-08 21:49:47.047428,2026-08-08 21:49:50.795591,0 days 00:00:03.748163,0.03860487984774338,50,minkowski,10,1.0,COMPLETE
2,0.7124251301507324,2026-08-08 21:49:50.873777,2026-08-08 21:49:54.693789,0 days 00:00:03.820012,0.40648517584940247,60,minkowski,38,1.0,COMPLETE
3,0.8122002825951414,2026-08-08 21:49:54.759669,2026-08-08 21:49:58.560204,0 days 00:00:03.800535,0.3695652622191061,40,manhattan,20,,COMPLETE
4,0.8282281139307455,2026-08-08 21:49:58.626622,2026-08-08 21:49:59.086394,0 days 00:00:00.459772,0.24453541449540095,40,euclidean,7,,COMPLETE
5,0.808254466691323,2026-08-08 21:49:59.155556,2026-08-08 21:50:02.935472,0 days 00:00:03.779916,0.21965777027202094,50,manhattan,21,,COMPLETE
6,0.8429044647166154,2026-08-08 21:50:02.998057,2026-08-08 21:50:06.788055,0 days 00:00:03.789998,0.06573318968051038,60,manhattan,12,,COMPLETE
7,0.7874823579880695,2026-08-08 21:50:06.860305,2026-08-08 21:50:10.629558,0 days 00:00:03.769253,0.4037301823363769,60,minkowski,9,1.0,COMPLETE
8,0.8218763841035962,2026-08-08 21:50:10.701468,2026-08-08 21:50:14.461450,0 days 00:00:03.759982,0.33026349906138686,30,manhattan,5,,COMPLETE
9,0.8295858852870416,2026-08-08 21:50:14.533089,2026-08-08 21:50:15.007970,0 days 00:00:00.474881,0.24317566187629008,40,euclidean,16,,COMPLETE
10,0.7963873815436079,2026-08-08 21:50:15.079381,2026-08-08 21:50:19.003131,0 days 00:00:03.923750,0.01082998769740625,10,manhattan,90,,COMPLETE
11,0.8362597582352209,2026-08-08 21:50:19.061536,2026-08-08 21:50:19.536133,0 days 00:00:00.474597,0.04664802767184197,60,minkowski,11,2.0,COMPLETE
12,0.8429044647166154,2026-08-08 21:50:19.604987,2026-08-08 21:50:23.390073,0 days 00:00:03.785086,0.10967638374671901,50,manhattan,12,,COMPLETE
13,0.8167514288372859,2026-08-08 21:50:23.468581,2026-08-08 21:50:27.231848,0 days 00:00:03.763267,0.12704138707768564,50,manhattan,15,,COMPLETE
14,0.7253913571315107,2026-08-08 21:50:27.310278,2026-08-08 21:50:31.112610,0 days 00:00:03.802332,0.13974698893602996,50,manhattan,30,,COMPLETE
15,0.8218763841035962,2026-08-08 21:50:31.175166,2026-08-08 21:50:34.946263,0 days 00:00:03.771097,0.12990734938046158,10,manhattan,5,,COMPLETE
16,0.8147075895183455,2026-08-08 21:50:35.011621,2026-08-08 21:50:38.812544,0 days 00:00:03.800923,0.49958784894379077,60,manhattan,13,,COMPLETE
17,0.8282281139307455,2026-08-08 21:50:38.883460,2026-08-08 21:50:39.342966,0 days 00:00:00.459506,0.08879806605844548,30,euclidean,7,,COMPLETE
18,0.7546997539319055,2026-08-08 21:50:39.415386,2026-08-08 21:50:43.226659,0 days 00:00:03.811273,0.17349495518027447,50,manhattan,25,,COMPLETE
19,0.8309715447644039,2026-08-08 21:50:43.289221,2026-08-08 21:50:47.062445,0 days 00:00:03.773224,0.09183027285051137,20,manhattan,8,,COMPLETE
20,0.7818665516065811,2026-08-08 21:50:47.143584,2026-08-08 21:50:47.678208,0 days 00:00:00.534624,0.1756925998092237,60,euclidean,56,,COMPLETE
21,0.8425626417996578,2026-08-08 21:50:47.740130,2026-08-08 21:50:51.533664,0 days 00:00:03.793534,0.0490950483363624,50,minkowski,11,1.0,COMPLETE
22,0.8244083496428941,2026-08-08 21:50:51.615258,2026-08-08 21:50:52.087545,0 days 00:00:00.472287,0.07943793022696533,40,minkowski,13,2.0,COMPLETE
23,0.8194947587489141,2026-08-08 21:50:52.160678,2026-08-08 21:50:55.967230,0 days 00:00:03.806552,0.011384047207760421,50,minkowski,17,1.0,COMPLETE
24,0.8425626417996578,2026-08-08 21:50:56.037135,2026-08-08 21:50:59.880923,0 days 00:00:03.843788,0.06962811157942085,60,manhattan,11,,COMPLETE
25,0.8282281139307455,2026-08-08 21:50:59.947596,2026-08-08 21:51:00.438719,0 days 00:00:00.491123,0.17785227743638898,50,minkowski,7,2.0,COMPLETE
26,0.8147075895183455,2026-08-08 21:51:00.507908,2026-08-08 21:51:04.281781,0 days 00:00:03.773873,0.11570839687812157,40,manhattan,13,,COMPLETE
27,0.808254466691323,2026-08-08 21:51:04.360270,2026-08-08 21:51:08.163225,0 days 00:00:03.802955,0.05045961863047955,60,manhattan,21,,COMPLETE
28,0.8236526118385983,2026-08-08 21:51:08.232680,2026-08-08 21:51:08.694654,0 days 00:00:00.461974,0.15759738146274818,50,euclidean,6,,COMPLETE
29,0.7874823579880695,2026-08-08 21:51:08.768016,2026-08-08 21:51:12.537858,0 days 00:00:03.769842,0.10681314696358114,40,minkowski,9,1.0,COMPLETE
30,0.7879100991935724,2026-08-08 21:51:12.602726,2026-08-08 21:51:13.104877,0 days 00:00:00.502151,0.19751364478154612,60,minkowski,29,2.0,COMPLETE
31,0.8425626417996578,2026-08-08 21:51:13.168825,2026-08-08 21:51:16.957178,0 days 00:00:03.788353,0.0731975787035838,60,manhattan,11,,COMPLETE
32,0.8425626417996578,2026-08-08 21:51:17.026067,2026-08-08 21:51:20.803435,0 days 00:00:03.777368,0.044793477816535615,50,manhattan,11,,COMPLETE
33,0.7874823579880695,2026-08-08 21:51:20.874608,2026-08-08 21:51:24.644299,0 days 00:00:03.769691,0.06642924134766559,60,manhattan,9,,COMPLETE
34,0.8155159077004788,2026-08-08 21:51:24.712479,2026-08-08 21:51:28.498304,0 days 00:00:03.785825,0.023837683894709194,50,manhattan,14,,COMPLETE
35,0.8168197866925422,2026-08-08 21:51:28.560969,2026-08-08 21:51:32.372136,0 days 00:00:03.811167,0.10276877269416382,60,minkowski,18,1.0,COMPLETE
36,0.8425626417996578,2026-08-08 21:51:32.434686,2026-08-08 21:51:36.225561,0 days 00:00:03.790875,0.06049629853932337,50,manhattan,11,,COMPLETE
37,0.8309715447644039,2026-08-08 21:51:36.284077,2026-08-08 21:51:40.063662,0 days 00:00:03.779585,0.14981612046450232,60,manhattan,8,,COMPLETE
38,0.8236526118385983,2026-08-08 21:51:40.136036,2026-08-08 21:51:40.589902,0 days 00:00:00.453866,0.29440144340120566,50,minkowski,6,2.0,COMPLETE
39,0.8168197866925422,2026-08-08 21:51:40.663742,2026-08-08 21:51:44.454810,0 days 00:00:03.791068,0.03784470348615545,60,manhattan,18,,COMPLETE
40,0.8039938413340171,2026-08-08 21:51:44.533074,2026-08-08 21:51:45.015909,0 days 00:00:00.482835,0.21458139930147502,40,euclidean,24,,COMPLETE
41,0.8425626417996578,2026-08-08 21:51:45.094164,2026-08-08 21:51:48.872021,0 days 00:00:03.777857,0.07714795371650514,60,manhattan,11,,COMPLETE
42,0.8391280632611581,2026-08-08 21:51:48.950214,2026-08-08 21:51:52.720767,0 days 00:00:03.770553,0.06809463683191198,60,manhattan,10,,COMPLETE
43,0.8429044647166154,2026-08-08 21:51:52.799032,2026-08-08 21:51:56.596872,0 days 00:00:03.797840,0.11133062631476022,60,manhattan,12,,COMPLETE
44,0.8155159077004788,2026-08-08 21:51:56.659445,2026-08-08 21:52:00.453197,0 days 00:00:03.793752,0.10078587931374816,50,manhattan,14,,COMPLETE
45,0.8183394033449194,2026-08-08 21:52:00.524853,2026-08-08 21:52:04.339704,0 days 00:00:03.814851,0.12094019563857143,60,manhattan,16,,COMPLETE
46,0.8429044647166154,2026-08-08 21:52:04.409525,2026-08-08 21:52:08.189761,0 days 00:00:03.780236,0.03286065415100822,50,manhattan,12,,COMPLETE
47,0.8122002825951414,2026-08-08 21:52:08.257743,2026-08-08 21:52:12.068740,0 days 00:00:03.810997,0.031092406680436183,40,minkowski,20,1.0,COMPLETE
48,0.8309715447644039,2026-08-08 21:52:12.135855,2026-08-08 21:52:15.910841,0 days 00:00:03.774986,0.1419415570110055,50,manhattan,8,,COMPLETE
49,0.8147075895183455,2026-08-08 21:52:15.980514,2026-08-08 21:52:19.764388,0 days 00:00:03.783874,0.011740944660902804,20,manhattan,13,,COMPLETE
50,0.8312322263689216,2026-08-08 21:52:19.827251,2026-08-08 21:52:20.304845,0 days 00:00:00.477594,0.04748874686169759,30,euclidean,10,,COMPLETE
51,0.8391280632611581,2026-08-08 21:52:20.374736,2026-08-08 21:52:24.146793,0 days 00:00:03.772057,0.09396056155723548,50,manhattan,10,,COMPLETE
52,0.8429044647166154,2026-08-08 21:52:24.214203,2026-08-08 21:52:27.990449,0 days 00:00:03.776246,0.12291253704747673,60,manhattan,12,,COMPLETE
53,0.8429044647166154,2026-08-08 21:52:28.059355,2026-08-08 21:52:31.857649,0 days 00:00:03.798294,0.12724486066433668,50,manhattan,12,,COMPLETE
54,0.8167514288372859,2026-08-08 21:52:31.920831,2026-08-08 21:52:35.729811,0 days 00:00:03.808980,0.15894161339579943,60,manhattan,15,,COMPLETE
55,0.8429044647166154,2026-08-08 21:52:35.802993,2026-08-08 21:52:39.589960,0 days 00:00:03.786967,0.1203254705619512,50,manhattan,12,,COMPLETE
56,0.7874823579880695,2026-08-08 21:52:39.661126,2026-08-08 21:52:43.439091,0 days 00:00:03.777965,0.4654537768711155,60,manhattan,9,,COMPLETE
57,0.7116762886851804,2026-08-08 21:52:43.506505,2026-08-08 21:52:47.360595,0 days 00:00:03.854090,0.19096219284029298,50,manhattan,42,,COMPLETE
58,0.8167514288372859,2026-08-08 21:52:47.431228,2026-08-08 21:52:51.209621,0 days 00:00:03.778393,0.1346439093233618,40,manhattan,15,,COMPLETE
59,0.8429044647166154,2026-08-08 21:52:51.287821,2026-08-08 21:52:55.061998,0 days 00:00:03.774177,0.1597980794742527,60,manhattan,12,,COMPLETE
60,0.7932318187784815,2026-08-08 21:52:55.135857,2026-08-08 21:52:59.079654,0 days 00:00:03.943797,0.08974333767286315,50,manhattan,80,,COMPLETE
61,0.8429044647166154,2026-08-08 21:52:59.145139,2026-08-08 21:53:02.926135,0 days 00:00:03.780996,0.11913090089080636,50,manhattan,12,,COMPLETE
62,0.8429044647166154,2026-08-08 21:53:02.986990,2026-08-08 21:53:06.788209,0 days 00:00:03.801219,0.12846823474759483,50,manhattan,12,,COMPLETE
63,0.8155159077004788,2026-08-08 21:53:06.861112,2026-08-08 21:53:10.656888,0 days 00:00:03.795776,0.11102225802961371,40,manhattan,14,,COMPLETE
64,0.8183394033449194,2026-08-08 21:53:10.728081,2026-08-08 21:53:14.537048,0 days 00:00:03.808967,0.08484045067466653,50,manhattan,16,,COMPLETE
65,0.8343094399977824,2026-08-08 21:53:14.599692,2026-08-08 21:53:18.384787,0 days 00:00:03.785095,0.2398622052060381,60,manhattan,7,,COMPLETE
66,0.8168197866925422,2026-08-08 21:53:18.447332,2026-08-08 21:53:22.266462,0 days 00:00:03.819130,0.14083447429032278,50,manhattan,18,,COMPLETE
67,0.7874823579880695,2026-08-08 21:53:22.334659,2026-08-08 21:53:26.103248,0 days 00:00:03.768589,0.17141701592502334,50,manhattan,9,,COMPLETE
68,0.8099282249247947,2026-08-08 21:53:26.173008,2026-08-08 21:53:26.662494,0 days 00:00:00.489486,0.05984514419678541,40,euclidean,23,,COMPLETE
69,0.8391280632611581,2026-08-08 21:53:26.724619,2026-08-08 21:53:30.521301,0 days 00:00:03.796682,0.10837021249601496,60,manhattan,10,,COMPLETE
70,0.8147075895183455,2026-08-08 21:53:30.593932,2026-08-08 21:53:34.382481,0 days 00:00:03.788549,0.3783415010686036,50,manhattan,13,,COMPLETE
71,0.8429044647166154,2026-08-08 21:53:34.460679,2026-08-08 21:53:38.239356,0 days 00:00:03.778677,0.1555373152629998,60,manhattan,12,,COMPLETE
72,0.8429044647166154,2026-08-08 21:53:38.324124,2026-08-08 21:53:42.130984,0 days 00:00:03.806860,0.1939232953448824,60,manhattan,12,,COMPLETE
73,0.8155159077004788,2026-08-08 21:53:42.194395,2026-08-08 21:53:45.999193,0 days 00:00:03.804798,0.171578340467858,60,manhattan,14,,COMPLETE
74,0.8309715447644039,2026-08-08 21:53:46.068459,2026-08-08 21:53:49.843325,0 days 00:00:03.774866,0.13068089141489062,60,manhattan,8,,COMPLETE
75,0.8391280632611581,2026-08-08 21:53:49.909731,2026-08-08 21:53:53.688204,0 days 00:00:03.778473,0.08161953433890679,60,manhattan,10,,COMPLETE
76,0.8183394033449194,2026-08-08 21:53:53.759039,2026-08-08 21:53:57.545790,0 days 00:00:03.786751,0.14525676465552,50,manhattan,16,,COMPLETE
77,0.8429044647166154,2026-08-08 21:53:57.624214,2026-08-08 21:54:01.475779,0 days 00:00:03.851565,0.09851167319596024,60,manhattan,12,,COMPLETE
78,0.8194947587489141,2026-08-08 21:54:01.532820,2026-08-08 21:54:05.341236,0 days 00:00:03.808416,0.026768676968125918,50,manhattan,17,,COMPLETE
79,0.8238705697835806,2026-08-08 21:54:05.402747,2026-08-08 21:54:05.862708,0 days 00:00:00.459961,0.12790140441905895,60,euclidean,8,,COMPLETE
80,0.8147075895183455,2026-08-08 21:54:05.928853,2026-08-08 21:54:09.736966,0 days 00:00:03.808113,0.2102285766695849,50,manhattan,13,,COMPLETE
81,0.8429044647166154,2026-08-08 21:54:09.810466,2026-08-08 21:54:13.620324,0 days 00:00:03.809858,0.11208804028802041,50,manhattan,12,,COMPLETE
