number,value,datetime_start,datetime_complete,duration,params_epsilon,params_k,params_lr,params_n_epochs,params_proportion,params_samples,params_wd,state
0,0.8811509383464695,2026-08-09 08:37:34.306910,2026-08-09 08:41:33.161051,0 days 00:03:58.854141,0.3660515335854786,93,0.002281167485681001,250,2,MIXED,0.01476343771074142,COMPLETE
1,0.8880203655671391,2026-08-09 08:41:33.242288,2026-08-09 08:42:43.352316,0 days 00:01:10.110028,0.1353982885353253,59,0.0016943642458979154,225,1,SUBSPACE,0.027713354390133626,COMPLETE
2,0.8144295916827727,2026-08-09 08:42:43.424230,2026-08-09 08:46:29.761818,0 days 00:03:46.337588,0.24751720505560543,86,0.026356970435992628,250,2,MIXED,0.6668829342382537,COMPLETE
3,0.883427425438817,2026-08-09 08:46:29.824526,2026-08-09 08:47:04.387391,0 days 00:00:34.562865,0.3324791783025361,23,0.008442123802485935,225,1,UNIFORM,0.008214380427751513,COMPLETE
4,0.8884070023925678,2026-08-09 08:47:04.450023,2026-08-09 08:47:25.518404,0 days 00:00:21.068381,0.16069334497735088,25,0.0027108160847900417,75,2,UNIFORM,0.4765928163155595,COMPLETE
5,0.8800125825364096,2026-08-09 08:47:25.610851,2026-08-09 08:50:16.803825,0 days 00:02:51.192974,0.08987234528249519,136,0.037377310329363846,200,1,SUBSPACE,0.1637283697057387,COMPLETE
6,0.8911047035874149,2026-08-09 08:50:16.866417,2026-08-09 08:52:26.027434,0 days 00:02:09.161017,0.07069115155698626,98,0.017000681801169464,200,1,MIXED,0.7016532513549357,COMPLETE
7,0.8869179342007888,2026-08-09 08:52:26.093700,2026-08-09 08:53:07.218532,0 days 00:00:41.124832,0.1982118667365726,24,0.00012922628152774743,150,2,MIXED,0.0004985200134952847,COMPLETE
8,0.8836391551289328,2026-08-09 08:53:07.287468,2026-08-09 08:54:33.050539,0 days 00:01:25.763071,0.14191753444830602,70,0.001876980219849124,175,1,UNIFORM,0.0011292163044994239,COMPLETE
9,0.8866231292345936,2026-08-09 08:54:33.135676,2026-08-09 08:54:46.821498,0 days 00:00:13.685822,0.48790344490591686,30,0.0031024288227061185,75,1,MIXED,0.0029471125596792465,COMPLETE
