number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_contamination,params_max_features,params_max_samples,params_n_estimators,state
29,0.8093991607124252,2026-08-03 17:04:36.515379,2026-08-03 17:04:37.397346,0 days 00:00:00.881967,False,0.3463090230627736,0.5583187710436657,0.45501512836764485,500,COMPLETE
30,0.8000925542302371,2026-08-03 17:04:37.473787,2026-08-03 17:04:38.016354,0 days 00:00:00.542567,True,0.4005201166244469,0.7028799230210695,0.8125187097506914,300,COMPLETE
31,0.8169833983878119,2026-08-03 17:04:38.092639,2026-08-03 17:04:38.523314,0 days 00:00:00.430675,False,0.18666757888780877,0.9865532595152915,0.9390627291801243,200,COMPLETE
32,0.8314265223595998,2026-08-03 17:04:38.599565,2026-08-03 17:04:38.821738,0 days 00:00:00.222173,False,0.14006029718301952,0.930993667392895,0.8667062802879154,100,COMPLETE
33,0.8132563946008418,2026-08-03 17:04:38.891197,2026-08-03 17:04:39.112580,0 days 00:00:00.221383,False,0.13147918029491126,0.9361022670679318,0.8840176351945501,100,COMPLETE
34,0.8058450903857476,2026-08-03 17:04:39.183105,2026-08-03 17:04:39.398270,0 days 00:00:00.215165,False,0.25787725941206324,0.9039485736699677,0.836191889181464,100,COMPLETE
35,0.8209169531728898,2026-08-03 17:04:39.480666,2026-08-03 17:04:39.697125,0 days 00:00:00.216459,False,0.06625027342252846,0.8716859146942537,0.844414849636111,100,COMPLETE
36,0.8188214599824097,2026-08-03 17:04:39.773412,2026-08-03 17:04:39.981801,0 days 00:00:00.208389,False,0.04656948753892754,0.7677632559734011,0.8460648438995733,100,COMPLETE
37,0.8085099616941784,2026-08-03 17:04:40.057911,2026-08-03 17:04:40.279343,0 days 00:00:00.221432,False,0.0515029115970045,0.832391566520991,0.7581544185836728,100,COMPLETE
38,0.7745217223809213,2026-08-03 17:04:40.356603,2026-08-03 17:04:40.565019,0 days 00:00:00.208416,False,0.011294387236968734,0.7698494037666462,0.8457426936461134,100,COMPLETE
39,0.8230006347960294,2026-08-03 17:04:40.641234,2026-08-03 17:04:40.862572,0 days 00:00:00.221338,False,0.10422105053465605,0.9242947771995036,0.9419045901167068,100,COMPLETE
40,0.8043059523030739,2026-08-03 17:04:40.939704,2026-08-03 17:04:41.155284,0 days 00:00:00.215580,False,0.10481246289285731,0.9188940490203882,0.9259577889789955,100,COMPLETE
41,0.7988838371723955,2026-08-03 17:04:41.237570,2026-08-03 17:04:41.455145,0 days 00:00:00.217575,False,0.06563727976973746,0.876647686339113,0.8530462110173971,100,COMPLETE
